Year,SDG Series,Reference area,Sex,Degree of urbanisation,Value
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,,11.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Male,,12.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,,11.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Urban,17.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Male,Urban,17.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,Urban,17.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Rural,10.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Male,Rural,10.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,Rural,9.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,,,19.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Male,,20.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Female,,16.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,,Urban,26.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Male,Urban,27.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Female,Urban,22.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,,Rural,18.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Male,Rural,19.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Female,Rural,15.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,,,16.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Male,,17.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Female,,15.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,,Urban,24.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Male,Urban,24.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Female,Urban,23.4
