Year,SERIES,Value
2015,Coverage of protected areas in relation to marine areas-Index,63.59
2016,Coverage of protected areas in relation to marine areas-Index,63.99
2017,Coverage of protected areas in relation to marine areas-Index,62.99
2018,Coverage of protected areas in relation to marine areas-Index,62.17
2019,Coverage of protected areas in relation to marine areas-Index,58.93
2015,Coverage of protected areas in relation to marine areas-Food provision,53.68
2016,Coverage of protected areas in relation to marine areas-Food provision,53.03
2017,Coverage of protected areas in relation to marine areas-Food provision,52.66
2018,Coverage of protected areas in relation to marine areas-Food provision,52.75
2019,Coverage of protected areas in relation to marine areas-Food provision,58.61
2015,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),53.68
2016,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),53.03
2017,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),52.66
2018,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),52.75
2019,Coverage of protected areas in relation to marine areas-Wild caught Fisheries(sub-goal),58.61
2015,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,47.42
2016,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,47.29
2017,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,47.33
2018,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,47.64
2019,Coverage of protected areas in relation to marine areas-Artisanal fishing opportunities,47.6
2015,Coverage of protected areas in relation to marine areas-Natural products,68.25
2016,Coverage of protected areas in relation to marine areas-Natural products,75.8
2017,Coverage of protected areas in relation to marine areas-Natural products,67.58
2018,Coverage of protected areas in relation to marine areas-Natural products,60.28
2019,Coverage of protected areas in relation to marine areas-Natural products,4.66
2015,Coverage of protected areas in relation to marine areas-Carbon storage,99.77
2016,Coverage of protected areas in relation to marine areas-Carbon storage,99.77
2017,Coverage of protected areas in relation to marine areas-Carbon storage,99.77
2018,Coverage of protected areas in relation to marine areas-Carbon storage,99.77
2019,Coverage of protected areas in relation to marine areas-Carbon storage,99.77
2015,Coverage of protected areas in relation to marine areas-Coastal protection,99.86
2016,Coverage of protected areas in relation to marine areas-Coastal protection,99.86
2017,Coverage of protected areas in relation to marine areas-Coastal protection,99.86
2018,Coverage of protected areas in relation to marine areas-Coastal protection,99.86
2019,Coverage of protected areas in relation to marine areas-Coastal protection,99.86
2015,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals),94.68
2016,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals),94.68
2017,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals),94.68
2018,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals),94.68
2019,Coverage of protected areas in relation to marine areas-Livelihoods & economies (sub-goals),94.68
2015,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals),89.35
2016,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals),89.35
2017,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals),89.35
2018,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals),89.35
2019,Coverage of protected areas in relation to marine areas-Livelihoods (sub-goals),89.36
2015,Coverage of protected areas in relation to marine areas-Economies (sub-goals),100.0
2016,Coverage of protected areas in relation to marine areas-Economies (sub-goals),100.0
2017,Coverage of protected areas in relation to marine areas-Economies (sub-goals),100.0
2018,Coverage of protected areas in relation to marine areas-Economies (sub-goals),100.0
2019,Coverage of protected areas in relation to marine areas-Economies (sub-goals),100.0
2015,Coverage of protected areas in relation to marine areas-Tourism & recreation,17.48
2016,Coverage of protected areas in relation to marine areas-Tourism & recreation,15.65
2017,Coverage of protected areas in relation to marine areas-Tourism & recreation,14.47
2018,Coverage of protected areas in relation to marine areas-Tourism & recreation,14.81
2019,Coverage of protected areas in relation to marine areas-Tourism & recreation,15.42
2015,Coverage of protected areas in relation to marine areas-Sense of place,37.72
2016,Coverage of protected areas in relation to marine areas-Sense of place,36.7
2017,Coverage of protected areas in relation to marine areas-Sense of place,36.68
2018,Coverage of protected areas in relation to marine areas-Sense of place,36.64
2019,Coverage of protected areas in relation to marine areas-Sense of place,36.69
2015,Coverage of protected areas in relation to marine areas-Iconic species (sub-goal),72.74
2016,Coverage of protected areas in relation to marine areas-Iconic species (sub-goal),70.7
2017,Coverage of protected areas in relation to marine areas-Iconic species (sub-goal),70.67
2018,Coverage of protected areas in relation to marine areas-Iconic species (sub-goal),70.58
2019,Coverage of protected areas in relation to marine areas-Iconic species (sub-goal),71.94
2015,Coverage of protected areas in relation to marine areas-Lasting special places (sub-goal),2.7
2016,Coverage of protected areas in relation to marine areas-Lasting special places (sub-goal),2.69
2017,Coverage of protected areas in relation to marine areas-Lasting special places (sub-goal),2.69
2018,Coverage of protected areas in relation to marine areas-Lasting special places (sub-goal),2.7
2019,Coverage of protected areas in relation to marine areas-Lasting special places (sub-goal),1.45
2015,Coverage of protected areas in relation to marine areas-Clean water,31.92
2016,Coverage of protected areas in relation to marine areas-Clean water,32.05
2017,Coverage of protected areas in relation to marine areas-Clean water,31.68
2018,Coverage of protected areas in relation to marine areas-Clean water,31.27
2019,Coverage of protected areas in relation to marine areas-Clean water,39.96
2015,Coverage of protected areas in relation to marine areas-Biodiversity,85.1
2016,Coverage of protected areas in relation to marine areas-Biodiversity,85.04
2017,Coverage of protected areas in relation to marine areas-Biodiversity,85.15
2018,Coverage of protected areas in relation to marine areas-Biodiversity,83.99
2019,Coverage of protected areas in relation to marine areas-Biodiversity,92.08
2015,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),90.97
2016,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),91.17
2017,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),91.6
2018,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),89.66
2019,Coverage of protected areas in relation to marine areas-Habitat (sub-goal),90.64
2015,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),79.24
2016,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),78.9
2017,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),78.69
2018,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),78.31
2019,Coverage of protected areas in relation to marine areas-Species condition (sub-goal),93.53
