Year,SERIES,Reference area,Degree of urbanisation,GeoCode,Value
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,,49.5
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Rural,,63.0
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Urban,,36.3
2017,Prevalence of severe food insecurity in the population [2.1.2],,,,7.8
2017,Prevalence of severe food insecurity in the population [2.1.2],,Rural,,11.4
2017,Prevalence of severe food insecurity in the population [2.1.2],,Urban,,4.3
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Greater Accra,,03_o,24.2
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Ashanti,,06_o,32.4
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Brong Ahafo,,07_o,40.0
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Volta,,04_o,50.6
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Eastern,,05_o,52.4
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Western,,01_o,57.6
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Central,,02_o,69.2
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Upper West,,10_o,77.8
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Northern,,08_o,82.1
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Upper East,,09_o,82.2
2017,Prevalence of severe food insecurity in the population [2.1.2],Greater Accra,,03_o,1.7
2017,Prevalence of severe food insecurity in the population [2.1.2],Ashanti,,06_o,2.4
2017,Prevalence of severe food insecurity in the population [2.1.2],Brong Ahafo,,07_o,4.5
2017,Prevalence of severe food insecurity in the population [2.1.2],Volta,,04_o,5.9
2017,Prevalence of severe food insecurity in the population [2.1.2],Eastern,,05_o,3.8
2017,Prevalence of severe food insecurity in the population [2.1.2],Western,,01_o,10.1
2017,Prevalence of severe food insecurity in the population [2.1.2],Central,,02_o,11.1
2017,Prevalence of severe food insecurity in the population [2.1.2],Upper West,,10_o,21.1
2017,Prevalence of severe food insecurity in the population [2.1.2],Northern,,08_o,23.1
2017,Prevalence of severe food insecurity in the population [2.1.2],Upper East,,09_o,21.3
