Year,SERIES,UNIT_MEASURE,Value
2016,Agriculture orientation index for government expenditures [2.a.1],Index,0.35
2017,Agriculture orientation index for government expenditures [2.a.1],Index,0.48
2018,Agriculture orientation index for government expenditures [2.a.1],Index,0.49
2019,Agriculture orientation index for government expenditures [2.a.1],Index,0.25
2020,Agriculture orientation index for government expenditures [2.a.1],Index,0.19
2016,Agriculture share of Government Expenditure [2.a.1],Percent,9.81
2017,Agriculture share of Government Expenditure [2.a.1],Percent,10.06
2018,Agriculture share of Government Expenditure [2.a.1],Percent,10.32
2016,Agriculture value added share of GDP [2.a.1],Percent,22.6
2017,Agriculture value added share of GDP [2.a.1],Percent,21.15
2018,Agriculture value added share of GDP [2.a.1],Percent,19.65
