Year,SERIES,Value
2010,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.3
2011,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",4.4
2012,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",5.9
2013,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",8.8
2014,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",8.9
2015,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",11.1
2016,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",12.1
2017,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",12.5
2018,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",12.8
2019,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",11.3
2010,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.7
2011,"Number of commercial bank branches per 100,000 adults [8.10.1]",5.7
2012,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.1
2013,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.1
2014,"Number of commercial bank branches per 100,000 adults [8.10.1]",7.4
2015,"Number of commercial bank branches per 100,000 adults [8.10.1]",7.6
2016,"Number of commercial bank branches per 100,000 adults [8.10.1]",8.5
2017,"Number of commercial bank branches per 100,000 adults [8.10.1]",9.2
2018,"Number of commercial bank branches per 100,000 adults [8.10.1]",9.3
2019,"Number of commercial bank branches per 100,000 adults [8.10.1]",6.3
