Year,SERIES,Sex,Value
2014,Average monthly earnings [8.5.1],,495.47
2014,Average monthly earnings [8.5.1],Male,592.64
2014,Average monthly earnings [8.5.1],Female,395.48
2015,Average monthly earnings [8.5.1],,898.65
2015,Average monthly earnings [8.5.1],Male,1011.13
2015,Average monthly earnings [8.5.1],Female,715.22
2017,Average monthly earnings [8.5.1],,972.0
2017,Average monthly earnings [8.5.1],Male,1106.0
2017,Average monthly earnings [8.5.1],Female,679.0
2015,Average hourly earnings [8.5.1],,5.62
2015,Average hourly earnings [8.5.1],Male,6.32
2015,Average hourly earnings [8.5.1],Female,4.47
2017,Average hourly earnings [8.5.1],,6.08
2017,Average hourly earnings [8.5.1],Male,6.91
2017,Average hourly earnings [8.5.1],Female,4.24
