Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,98.8
2017,Normal value,Units,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,83.1
2018,Normal value,Units,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,98.8
2018,Normal value,Units,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,83.1
2019,Normal value,Units,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,98.1
2019,Normal value,Units,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,83.1
2020,Normal value,Units,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,96.9
2020,Normal value,Units,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,95.8
2020,Normal value,Units,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,67.7
2021,Normal value,Units,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,,96.9
2021,Normal value,Units,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,,95.8
2021,Normal value,Units,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,,67.7
