Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Western,,,Percent,01_o,9.0
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Greater Accra,,,Percent,03_o,2.9
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Volta,,,Percent,04_o,17.2
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Eastern,,,Percent,05_o,9.6
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Ashanti,,,Percent,06_o,5.5
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Brong Ahafo,,,Percent,07_o,13.3
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Northern,,,Percent,08_o,36.0
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Upper East,,,Percent,09_o,31.0
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],Upper West,,,Percent,10_o,57.6
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Western,,,Percent,01_o,3.8
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Greater Accra,,,Percent,03_o,0.0
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Volta,,,Percent,04_o,16.5
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Eastern,,,Percent,05_o,4.6
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Ashanti,,,Percent,06_o,3.4
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Brong Ahafo,,,Percent,07_o,13.8
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Northern,,,Percent,08_o,39.3
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Upper East,,,Percent,09_o,40.0
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],Upper West,,,Percent,10_o,55.6
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],,,,Percent,,11.6
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],,,Rural,Percent,,23.4
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],,,Urban,Percent,,3.9
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],,Male,,Percent,,9.7
2013,Normal value,Units,Proportion of population below international poverty line [1.1.1],,Female,,Percent,,6.9
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],,,,Percent,,11.9
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],,,Rural,Percent,,22.1
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],,,Urban,Percent,,1.9
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],,Male,,Percent,,13.6
2017,Normal value,Units,Proportion of population below international poverty line [1.1.1],,Female,,Percent,,7.6
