Year,SERIES,Reference area,Sex,Degree of urbanisation,GeoCode,Value
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,,,11.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Male,,,12.1
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,,,11.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Urban,,17.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Male,Urban,,17.2
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,Urban,,17.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,,Rural,,10.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Male,Rural,,10.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],,Female,Rural,,9.7
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,,,1,19.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Male,,1,20.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Female,,1,16.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,,Urban,1,26.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Male,Urban,1,27.5
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Female,Urban,1,22.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,,Rural,1,18.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Male,Rural,1,19.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Western,Female,Rural,1,15.6
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,,,2,16.9
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Male,,2,17.4
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Female,,2,15.8
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,,Urban,2,24.0
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Male,Urban,2,24.3
2018,Proportion of people with legally recognized documentation of their rights to land out of total adult population [1.4.2],Central,Female,Urban,2,23.4
