Year,COMPOSITE_BREAKDOWN,Value
2016,,63.19
2017,,63.74
2018,,63.92
2019,,63.44
2020,,63.32
2021,,63.26
2016,Food provision (OHI goal),50.11
2017,Food provision (OHI goal),49.81
2018,Food provision (OHI goal),49.27
2019,Food provision (OHI goal),48.61
2020,Food provision (OHI goal),47.71
2021,Food provision (OHI goal),47.22
2016,Wild caught Fisheries(OHI sub-goal),50.11
2017,Wild caught Fisheries(OHI sub-goal),49.82
2018,Wild caught Fisheries(OHI sub-goal),49.28
2019,Wild caught Fisheries(OHI sub-goal),48.61
2020,Wild caught Fisheries(OHI sub-goal),47.71
2021,Wild caught Fisheries(OHI sub-goal),47.22
2016,Mariculture (OHI sub-goal),0.01
2017,Mariculture (OHI sub-goal),0.01
2018,Mariculture (OHI sub-goal),0.01
2019,Mariculture (OHI sub-goal),0.01
2020,Mariculture (OHI sub-goal),0.01
2021,Mariculture (OHI sub-goal),0.01
2016,Artisanal fishing opportunities (OHI goal),72.01
2017,Artisanal fishing opportunities (OHI goal),71.12
2018,Artisanal fishing opportunities (OHI goal),69.9
2019,Artisanal fishing opportunities (OHI goal),69.05
2020,Artisanal fishing opportunities (OHI goal),68.33
2021,Artisanal fishing opportunities (OHI goal),67.95
2016,Natural products (OHI goal),55.93
2017,Natural products (OHI goal),62.57
2018,Natural products (OHI goal),66.79
2019,Natural products (OHI goal),68.11
2020,Natural products (OHI goal),68.48
2021,Natural products (OHI goal),69.01
2016,Carbon storage (OHI goal),99.09
2017,Carbon storage (OHI goal),99.09
2018,Carbon storage (OHI goal),99.09
2019,Carbon storage (OHI goal),99.09
2020,Carbon storage (OHI goal),99.09
2021,Carbon storage (OHI goal),99.09
2016,Coastal protection (OHI goal),98.0
2017,Coastal protection (OHI goal),98.0
2018,Coastal protection (OHI goal),98.0
2019,Coastal protection (OHI goal),98.0
2020,Coastal protection (OHI goal),98.0
2021,Coastal protection (OHI goal),98.0
2016,Livelihoods & economies (OHI goal),93.84
2017,Livelihoods & economies (OHI goal),93.84
2018,Livelihoods & economies (OHI goal),93.84
2019,Livelihoods & economies (OHI goal),93.84
2020,Livelihoods & economies (OHI goal),93.84
2021,Livelihoods & economies (OHI goal),93.84
2016,Livelihoods (OHI sub-goal),89.35
2017,Livelihoods (OHI sub-goal),89.35
2018,Livelihoods (OHI sub-goal),89.35
2019,Livelihoods (OHI sub-goal),89.35
2020,Livelihoods (OHI sub-goal),89.35
2021,Livelihoods (OHI sub-goal),89.35
2016,Economies (OHI sub-goal),98.32
2017,Economies (OHI sub-goal),98.32
2018,Economies (OHI sub-goal),98.32
2019,Economies (OHI sub-goal),98.32
2020,Economies (OHI sub-goal),98.32
2021,Economies (OHI sub-goal),98.32
2016,Tourism & recreation (OHI goal),10.65
2017,Tourism & recreation (OHI goal),11.12
2018,Tourism & recreation (OHI goal),11.15
2019,Tourism & recreation (OHI goal),11.35
2020,Tourism & recreation (OHI goal),11.6
2021,Tourism & recreation (OHI goal),11.58
2016,Sense of place (OHI goal),35.46
2017,Sense of place (OHI goal),35.44
2018,Sense of place (OHI goal),35.42
2019,Sense of place (OHI goal),32.25
2020,Sense of place (OHI goal),32.18
2021,Sense of place (OHI goal),32.11
2016,Iconic species (OHI sub-goal),68.18
2017,Iconic species (OHI sub-goal),68.14
2018,Iconic species (OHI sub-goal),68.1
2019,Iconic species (OHI sub-goal),61.76
2020,Iconic species (OHI sub-goal),61.63
2021,Iconic species (OHI sub-goal),61.49
2016,Lasting special places (OHI sub-goal),2.73
2017,Lasting special places (OHI sub-goal),2.73
2018,Lasting special places (OHI sub-goal),2.73
2019,Lasting special places (OHI sub-goal),2.73
2020,Lasting special places (OHI sub-goal),2.73
2021,Lasting special places (OHI sub-goal),2.73
2016,Clean water (OHI goal),35.55
2017,Clean water (OHI goal),35.25
2018,Clean water (OHI goal),35.25
2019,Clean water (OHI goal),33.61
2020,Clean water (OHI goal),33.49
2021,Clean water (OHI goal),33.37
2016,Biodiversity (OHI goal),81.3
2017,Biodiversity (OHI goal),81.14
2018,Biodiversity (OHI goal),80.5
2019,Biodiversity (OHI goal),80.49
2020,Biodiversity (OHI goal),80.46
2021,Biodiversity (OHI goal),80.46
2016,Habitat (OHI sub-goal),87.85
2017,Habitat (OHI sub-goal),87.94
2018,Habitat (OHI sub-goal),87.08
2019,Habitat (OHI sub-goal),87.47
2020,Habitat (OHI sub-goal),87.85
2021,Habitat (OHI sub-goal),87.85
2016,Species condition (OHI sub-goal),74.76
2017,Species condition (OHI sub-goal),74.34
2018,Species condition (OHI sub-goal),73.92
2019,Species condition (OHI sub-goal),73.5
2020,Species condition (OHI sub-goal),73.08
2021,Species condition (OHI sub-goal),73.08
