Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2013,Normal value,Units,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],,Female,Percent,,6.1
2013,Normal value,Units,Proportion of population subjected to physical violence in the previous 12 months [16.1.3],,Male,Percent,,2.1
2013,Normal value,Units,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],,Female,Percent,,2.5
2013,Normal value,Units,Proportion of population subjected to sexual violence in the previous 12 months [16.1.3],,Male,Percent,,1.4
2013,Normal value,Units,Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],,Female,Percent,,9.3
2013,Normal value,Units,Proportion of population subjected to psycological violence in the previous 12 months [16.1.3],,Male,Percent,,7.9
2013,Normal value,Units,Proportion of population subjected to social violence in the previous 12 months [16.1.3],,Female,Percent,,11.6
2013,Normal value,Units,Proportion of population subjected to social violence in the previous 12 months [16.1.3],,Male,Percent,,7.7
2013,Normal value,Units,Proportion of population subjected to economic violence in the previous 12 months [16.1.3],,Female,Percent,,12.8
2013,Normal value,Units,Proportion of population subjected to economic violence in the previous 12 months [16.1.3],,Male,Percent,,7.3
