Year,SDG Series,Reference area,Degree of urbanisation,Value
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],,,49.5
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Rural,63.0
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],,Urban,36.3
2017,Prevalence of severe food insecurity in the population [2.1.2],,,7.8
2017,Prevalence of severe food insecurity in the population [2.1.2],,Rural,11.4
2017,Prevalence of severe food insecurity in the population [2.1.2],,Urban,4.3
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Greater Accra,,24.2
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Ashanti,,32.4
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Brong Ahafo,,40.0
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Volta,,50.6
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Eastern,,52.4
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Western,,57.6
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Central,,69.2
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Upper West,,77.8
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Northern,,82.1
2017,Prevalence of moderate or severe food insecurity in the population [2.1.2],Upper East,,82.2
2017,Prevalence of severe food insecurity in the population [2.1.2],Greater Accra,,1.7
2017,Prevalence of severe food insecurity in the population [2.1.2],Ashanti,,2.4
2017,Prevalence of severe food insecurity in the population [2.1.2],Brong Ahafo,,4.5
2017,Prevalence of severe food insecurity in the population [2.1.2],Volta,,5.9
2017,Prevalence of severe food insecurity in the population [2.1.2],Eastern,,3.8
2017,Prevalence of severe food insecurity in the population [2.1.2],Western,,10.1
2017,Prevalence of severe food insecurity in the population [2.1.2],Central,,11.1
2017,Prevalence of severe food insecurity in the population [2.1.2],Upper West,,21.1
2017,Prevalence of severe food insecurity in the population [2.1.2],Northern,,23.1
2017,Prevalence of severe food insecurity in the population [2.1.2],Upper East,,21.3
