Year,Reference area,GeoCode,Value
2003,,,47.1
2008,,,58.7
2014,,,73.7
2017,,,79.0
2014,Upper West,10_o,63.7
2017,Upper West,10_o,83.0
2014,Upper East,09_o,84.6
2017,Upper East,09_o,94.0
2014,Northern,08_o,36.4
2017,Northern,08_o,60.0
2014,Brong Ahafo,07_o,79.0
2017,Brong Ahafo,07_o,86.0
2014,Ashanti,06_o,86.3
2017,Ashanti,06_o,82.0
2014,Eastern,05_o,67.2
2017,Eastern,05_o,79.0
2014,Volta,04_o,66.3
2017,Volta,04_o,69.0
2014,Greater Accra,03_o,92.1
2017,Greater Accra,03_o,93.0
2014,Central,02_o,72.0
2017,Central,02_o,73.0
2014,Western,01_o,75.3
2017,Western,01_o,80.0
