Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Normal value,Units,Doctor to population ratio,,Ratio,,8301
2017,Normal value,Units,Doctor to population ratio,,Ratio,,8100
2018,Normal value,Units,Doctor to population ratio,,Ratio,,7196
2019,Normal value,Units,Doctor to population ratio,,Ratio,,6899
2020,Normal value,Units,Doctor to population ratio,,Ratio,,6355
2016,Normal value,Units,Nurse to population ratio,,Ratio,,823
2017,Normal value,Units,Nurse to population ratio,,Ratio,,779
2018,Normal value,Units,Nurse to population ratio,,Ratio,,823
2019,Normal value,Units,Nurse to population ratio,,Ratio,,727
2020,Normal value,Units,Nurse to population ratio,,Ratio,,698
