Year,SERIES,COMPOSITE_BREAKDOWN,Value
2018,Average of 13 International Health Regulations (IHR) core capacities [3.d.1],,47
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Legislation and financing,27
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Coordination and National Focal Point Functions,50
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Zoonotic events and the Human-Animal Health Interface,60
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Food safety,40
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Laboratory,47
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Surveillance,80
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Human resources,20
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",National Health Emergency Framework,27
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Health Service Provision,40
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Risk communication,80
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Points of entry,40
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Chemical events,40
2018,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Radiation emergencies,60
2019,Average of 13 International Health Regulations (IHR) core capacities [3.d.1],,49
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Legislation and financing,33
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Coordination and National Focal Point Functions,60
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Zoonotic events and the Human-Animal Health Interface,60
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Food safety,40
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Laboratory,53
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Surveillance,80
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Human resources,20
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",National Health Emergency Framework,33
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Health Service Provision,40
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Risk communication,80
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Points of entry,40
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Chemical events,40
2019,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Radiation emergencies,60
2020,Average of 13 International Health Regulations (IHR) core capacities [3.d.1],,49
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Legislation and financing,33
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",IHR Coordination and National Focal Point Functions,60
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Zoonotic events and the Human-Animal Health Interface,60
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Food safety,40
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Laboratory,53
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Surveillance,80
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Human resources,20
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",National Health Emergency Framework,33
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Health Service Provision,40
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Risk communication,80
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Points of entry,40
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Chemical events,40
2020,"International Health Regulations (IHR) capacity, by type of IHR capacity [3.d.1]",Radiation emergencies,60
