Year,SERIES,Sex,Degree of urbanisation,Education level,COMPOSITE_BREAKDOWN,Value
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),,,Primary 4,Skill: Mathematics,22.0
2018,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),,,Primary 4,Skill: Mathematics,19.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Male,,Primary 4,Skill: Mathematics,22.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Female,,Primary 4,Skill: Mathematics,22.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),,,Primary 4,English,37.2
2018,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),,,Primary 4,English,25.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Male,,Primary 4,English,35.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Female,,Primary 4,English,40.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),,,Primary 6,Skill: Mathematics,24.9
2018,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),,,Primary 6,Skill: Mathematics,22.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Male,,Primary 6,Skill: Mathematics,27.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Female,,Primary 6,Skill: Mathematics,23.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),,,Primary 6,English,38.0
2018,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),,,Primary 6,English,25.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Male,,Primary 6,English,37.0
2016,Proportion of pupils in primary 4 and primary 6 that achieved minimum proficiency in Mathematics and English (Percent),Female,,Primary 6,English,39.0
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),,,,Skill: Reading,21.4
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),,Urban,,Skill: Reading,33.6
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),,Rural,,Skill: Reading,12.4
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Female,,,Skill: Reading,22.4
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Female,Urban,,Skill: Reading,35.6
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Female,Rural,,Skill: Reading,12.4
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Male,,,Skill: Reading,20.4
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Male,Urban,,Skill: Reading,31.6
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Male,Rural,,Skill: Reading,12.5
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),,,,Skill: Functional numeracy,15.7
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),,Urban,,Skill: Functional numeracy,22.0
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),,Rural,,Skill: Functional numeracy,11.2
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Female,,,Skill: Functional numeracy,14.0
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Female,Urban,,Skill: Functional numeracy,20.6
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Female,Rural,,Skill: Functional numeracy,9.1
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Male,,,Skill: Functional numeracy,17.3
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Male,Urban,,Skill: Functional numeracy,23.3
2018,Children who demonstrated foundational literacy and numeracy by locality type (Percent),Male,Rural,,Skill: Functional numeracy,13.1
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",,,Primary 4,Skill: Functional literacy,19.5
2018,"Foundational literacy and numeracy skills of students in P4, P6 and JHS by sex, (Percent)",Male,,Primary 4,Skill: Functional literacy,22.8
