Year,Observation status,Unit multiplier,SERIES,Reference area,Education level,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Primary education,Percent,,100.8
2017,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Lower secondary education,Percent,,75.2
2018,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Primary education,Percent,,99.6
2018,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Lower secondary education,Percent,,78.8
2019,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Primary education,Percent,,102.4
2019,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Lower secondary education,Percent,,79.1
2020,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Primary education,Percent,,107.5
2020,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Lower secondary education,Percent,,77.5
2021,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Primary education,Percent,,108.6
2021,Normal value,Units,"Completion rate, by sex, location, wealth quintile and education level (%) [4.1.2]",,Lower secondary education,Percent,,83.1
