Year,Reference area,Sex,Degree of urbanisation,Value
2011,,,,80.3
2011,,Male,,79.4
2011,,Female,,81.1
2011,,,Urban,81.4
2011,,,Rural,79.5
2011,Western,,,81.6
2011,Central,,,87.1
2011,Greater Accra,,,84.1
2011,Volta,,,91.4
2011,Eastern,,,72.2
2011,Ashanti,,,59.7
2011,Brong Ahafo,,,87.7
2011,Northern,,,89.0
2011,Upper East,,,74.5
2011,Upper West,,,65.4
2017,,,,88.1
2017,,Male,,86.0
2017,,Female,,90.1
2017,,,Urban,94.0
2017,,,Rural,83.4
2017,Western,,,89.6
2017,Central,,,95.0
2017,Greater Accra,,,95.3
2017,Volta,,,79.4
2017,Eastern,,,89.2
2017,Ashanti,,,96.0
2017,Brong Ahafo,,,83.9
2017,Northern,,,72.4
2017,Upper East,,,86.1
2017,Upper West,,,71.0
