Year,SERIES,Sex,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,Number of Technical and Vocational Institutions,,Vocational secondary education,,Number,186.0
2015,Number of Technical and Vocational Institutions,,Vocational secondary education,,Number,185.0
2016,Number of Technical and Vocational Institutions,,Vocational secondary education,,Number,164.0
2017,Number of Technical and Vocational Institutions,,Vocational secondary education,,Number,178.0
2018,Number of Technical and Vocational Institutions,,Vocational secondary education,,Number,177.0
2019,Number of Technical and Vocational Institutions,,Vocational secondary education,,Number,177.0
2014,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Ghana Education Service,Number,45.0
2015,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Ghana Education Service,Number,45.0
2016,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Ghana Education Service,Number,45.0
2017,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Ghana Education Service,Number,47.0
2018,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Ghana Education Service,Number,47.0
2019,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Ghana Education Service,Number,47.0
2014,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Other Public Institutions,Number,73.0
2015,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Other Public Institutions,Number,75.0
2016,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Other Public Institutions,Number,64.0
2017,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Other Public Institutions,Number,73.0
2018,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Other Public Institutions,Number,68.0
2019,Number of Public Technical and Vocational Institutions,,Vocational secondary education,Other Public Institutions,Number,82.0
2014,Number of Public Technical and Vocational Institutions,,Vocational secondary education,,Number,118.0
2015,Number of Public Technical and Vocational Institutions,,Vocational secondary education,,Number,120.0
2016,Number of Public Technical and Vocational Institutions,,Vocational secondary education,,Number,109.0
2017,Number of Public Technical and Vocational Institutions,,Vocational secondary education,,Number,120.0
2018,Number of Public Technical and Vocational Institutions,,Vocational secondary education,,Number,115.0
2019,Number of Public Technical and Vocational Institutions,,Vocational secondary education,,Number,129.0
2014,Number of Private Technical and Vocational Institutions,,Vocational secondary education,Private,Number,68.0
2015,Number of Private Technical and Vocational Institutions,,Vocational secondary education,Private,Number,65.0
2016,Number of Private Technical and Vocational Institutions,,Vocational secondary education,Private,Number,55.0
2017,Number of Private Technical and Vocational Institutions,,Vocational secondary education,Private,Number,58.0
2018,Number of Private Technical and Vocational Institutions,,Vocational secondary education,Private,Number,62.0
2019,Number of Private Technical and Vocational Institutions,,Vocational secondary education,Private,Number,48.0
2014,Enrolment in Technical and Vocational Institutions,,Vocational secondary education,,Number,41065.0
2015,Enrolment in Technical and Vocational Institutions,,Vocational secondary education,,Number,42513.0
2016,Enrolment in Technical and Vocational Institutions,,Vocational secondary education,,Number,53171.0
2017,Enrolment in Technical and Vocational Institutions,,Vocational secondary education,,Number,59110.0
2018,Enrolment in Technical and Vocational Institutions,,Vocational secondary education,,Number,63582.0
