Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2018,Normal value,Units,Proportion of ever-partnered women and girls subjected to physical violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,,Percent,,36.9
2018,Normal value,Units,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,Verbal assault,Percent,,32.5
2018,Normal value,Units,Proportion of ever-partnered women and girls subjected to psychological violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,Curse,Percent,,6.5
2018,Normal value,Units,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,Rape/Seduction,Percent,,1.8
2018,Normal value,Units,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,Defilement,Percent,,0.9
2018,Normal value,Units,Proportion of ever-partnered women and girls subjected to sexual violence by a current or former intimate partner in the previous 12 months [5.2.1],,Female,Sexual Harassment,Percent,,1.9
2010,Normal value,Units,Reported cases of domestic violence,,,,Number,,12706.0
2011,Normal value,Units,Reported cases of domestic violence,,,,Number,,17965.0
2012,Normal value,Units,Reported cases of domestic violence,,,,Number,,17655.0
2013,Normal value,Units,Reported cases of domestic violence,,,,Number,,19171.0
2014,Normal value,Units,Reported cases of domestic violence,,,,Number,,17655.0
2015,Normal value,Units,Reported cases of domestic violence,,,,Number,,15749.0
2016,Normal value,Units,Reported cases of domestic violence,,,,Number,,12377.0
2017,Normal value,Units,Reported cases of domestic violence,,,,Number,,8324.0
