Year,SERIES,Sex,Degree of urbanisation,Value
2017,Proportion of individuals who own a mobile telephone [5.b.1],,,63.8
2017,Proportion of individuals who own a mobile telephone [5.b.1],,Urban,74.4
2017,Proportion of individuals who own a mobile telephone [5.b.1],,Rural,51.8
2017,Proportion of individuals who own a mobile telephone [5.b.1],Male,,68.4
2017,Proportion of individuals who own a mobile telephone [5.b.1],Female,,59.6
2017,Proportion of individuals who use a mobile telephone [5.b.1],,,74.3
2017,Proportion of individuals who use a mobile telephone [5.b.1],,Urban,83.1
2017,Proportion of individuals who use a mobile telephone [5.b.1],,Rural,64.5
2017,Proportion of individuals who use a mobile telephone [5.b.1],Male,,76.9
2017,Proportion of individuals who use a mobile telephone [5.b.1],Female,,72.0
