Year,SERIES,Degree of urbanisation,COMPOSITE_BREAKDOWN,Value
2017,Sources of drinking water,,Tanker/Vendor,0.5
2017,Sources of drinking water,,Satchet Water,35.0
2017,Sources of drinking water,,Bottled Water,0.6
2017,Sources of drinking water,,Natural Source,8.0
2017,Sources of drinking water,,Well,28.5
2017,Sources of drinking water,,Pipe-borne,27.3
2015,Coverage of Drinking Water Services by Levels,,Safely Managed,33.0
2015,Coverage of Drinking Water Services by Levels,,Basic Service,47.0
2015,Coverage of Drinking Water Services by Levels,,Limited Service,8.0
2015,Coverage of Drinking Water Services by Levels,,Unimproved,4.0
2015,Coverage of Drinking Water Services by Levels,,Surface Water,8.0
2017,Coverage of Drinking Water Services by Levels,,Safely Managed,36.0
2017,Coverage of Drinking Water Services by Levels,,Basic Service,45.0
2017,Coverage of Drinking Water Services by Levels,,Limited Service,8.0
2017,Coverage of Drinking Water Services by Levels,,Unimproved,4.0
2017,Coverage of Drinking Water Services by Levels,,Surface Water,6.0
2020,Coverage of Drinking Water Services by Levels,,Safely Managed,41.0
2020,Coverage of Drinking Water Services by Levels,,Basic Service,45.0
2020,Coverage of Drinking Water Services by Levels,,Limited Service,7.0
2020,Coverage of Drinking Water Services by Levels,,Unimproved,3.0
2020,Coverage of Drinking Water Services by Levels,,Surface Water,5.0
2015,Coverage of Drinking Water Services by Levels,Rural,Safely Managed,11.0
2015,Coverage of Drinking Water Services by Levels,Rural,Basic Service,56.0
2015,Coverage of Drinking Water Services by Levels,Rural,Limited Service,11.0
2015,Coverage of Drinking Water Services by Levels,Rural,Unimproved,16.0
2015,Coverage of Drinking Water Services by Levels,Rural,Surface Water,15.0
2017,Coverage of Drinking Water Services by Levels,Rural,Safely Managed,11.0
2017,Coverage of Drinking Water Services by Levels,Rural,Basic Service,56.0
2017,Coverage of Drinking Water Services by Levels,Rural,Limited Service,13.0
2017,Coverage of Drinking Water Services by Levels,Rural,Unimproved,6.0
2017,Coverage of Drinking Water Services by Levels,Rural,Surface Water,15.0
2020,Coverage of Drinking Water Services by Levels,Rural,Safely Managed,16.0
2020,Coverage of Drinking Water Services by Levels,Rural,Basic Service,56.0
2020,Coverage of Drinking Water Services by Levels,Rural,Limited Service,12.0
2020,Coverage of Drinking Water Services by Levels,Rural,Unimproved,5.0
2020,Coverage of Drinking Water Services by Levels,Rural,Surface Water,11.0
2015,Coverage of Drinking Water Services by Levels,Urban,Safely Managed,52.0
2015,Coverage of Drinking Water Services by Levels,Urban,Basic Service,39.0
2015,Coverage of Drinking Water Services by Levels,Urban,Limited Service,5.0
2015,Coverage of Drinking Water Services by Levels,Urban,Unimproved,3.0
2015,Coverage of Drinking Water Services by Levels,Urban,Surface Water,1.0
2017,Coverage of Drinking Water Services by Levels,Urban,Safely Managed,57.0
2017,Coverage of Drinking Water Services by Levels,Urban,Basic Service,36.0
2017,Coverage of Drinking Water Services by Levels,Urban,Limited Service,5.0
2017,Coverage of Drinking Water Services by Levels,Urban,Unimproved,2.0
2017,Coverage of Drinking Water Services by Levels,Urban,Surface Water,0.0
2020,Coverage of Drinking Water Services by Levels,Urban,Safely Managed,60.0
2020,Coverage of Drinking Water Services by Levels,Urban,Basic Service,36.0
2020,Coverage of Drinking Water Services by Levels,Urban,Limited Service,3.0
2020,Coverage of Drinking Water Services by Levels,Urban,Unimproved,1.0
2020,Coverage of Drinking Water Services by Levels,Urban,Surface Water,0.0
