Year,Reference area,Degree of urbanisation,Value
1999,,,41.0
1999,,Urban,78.1
1999,,Rural,19.6
1999,Western,,47.4
1999,Central,,32.1
1999,Greater Accra,,83.9
1999,Volta,,30.9
1999,Eastern,,24.6
1999,Ashanti,,60.9
1999,Brong Ahafo,,29.0
1999,Northern,,7.9
1999,Upper East,,0.0
1999,Upper West,,5.7
2006,,,49.2
2006,,Urban,78.5
2006,,Rural,26.9
2006,Western,,52.5
2006,Central,,42.0
2006,Greater Accra,,82.1
2006,Volta,,30.8
2006,Eastern,,38.5
2006,Ashanti,,60.6
2006,Brong Ahafo,,48.3
2006,Northern,,27.1
2006,Upper East,,12.4
2006,Upper West,,10.6
2013,,,70.6
2013,,Urban,88.6
2013,,Rural,48.3
2013,Western,,72.1
2013,Central,,66.9
2013,Greater Accra,,90.7
2013,Volta,,60.9
2013,Eastern,,63.4
2013,Ashanti,,81.8
2013,Brong Ahafo,,63.0
2013,Northern,,47.6
2013,Upper East,,33.1
2013,Upper West,,42.2
2017,,,81.1
2017,,Urban,92.0
2017,,Rural,67.2
2017,Western,,82.9
2017,Central,,84.4
2017,Greater Accra,,93.7
2017,Volta,,75.3
2017,Eastern,,73.9
2017,Ashanti,,89.3
2017,Brong Ahafo,,72.5
2017,Northern,,66.1
2017,Upper East,,47.7
2017,Upper West,,57.8
2021,,,84.1
2021,Western,,88.9
2021,Central,,91.8
2021,Greater Accra,,96.5
2021,Volta,,85.4
2021,Eastern,,87.7
2021,Ashanti,,87.4
2021,Western North,,75.2
2021,Ahafo,,72.7
2021,Bono,,83.5
2021,Bono East,,73.8
2021,Oti,,70.2
2021,Northern,,77.0
2021,Savannah,,59.6
2021,North East,,71.4
2021,Upper East,,55.1
2021,Upper West,,70.5
2021,,Urban,95.0
2021,Western,Urban,97.5
2021,Central,Urban,95.8
2021,Greater Accra,Urban,97.3
2021,Volta,Urban,91.8
2021,Eastern,Urban,95.1
2021,Ashanti,Urban,94.7
2021,Western North,Urban,96.7
2021,Ahafo,Urban,90.3
2021,Bono,Urban,92.8
2021,Bono East,Urban,89.3
2021,Oti,Urban,87.5
2021,Northern,Urban,95.5
2021,Savannah,Urban,89.5
2021,North East,Urban,87.9
2021,Upper East,Urban,90.0
2021,Upper West,Urban,93.2
2021,,Rural,70.3
2021,Western,Rural,80.1
2021,Central,Rural,86.4
2021,Greater Accra,Rural,88.5
2021,Volta,Rural,80.9
2021,Eastern,Rural,80.1
2021,Ashanti,Rural,76.1
2021,Western North,Rural,66.4
2021,Ahafo,Rural,56.8
2021,Bono,Rural,70.8
2021,Bono East,Rural,57.0
2021,Oti,Rural,62.1
2021,Northern,Rural,60.9
2021,Savannah,Rural,47.3
2021,North East,Rural,63.7
2021,Upper East,Rural,43.7
2021,Upper West,Rural,63.0
