Year,SERIES,Value
2010,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",73.8
2013,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",68.7
2014,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",68.2
2015,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",69.7
2016,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",67.5
2017,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",61.4
2018,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",68.2
2019,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",65.8
2020,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",72.2
2021,"Energy intensity measured in terms of total energy supply and GDP, PPP (constant 2017 international $)",71.8
2010,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",58.7
2013,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",54.3
2014,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",53.5
2015,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",54.4
2016,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",52.1
2017,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",48.4
2018,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",49.2
2019,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",47.8
2020,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",51.1
2021,"Energy intensity measured in terms of final energy consumption and GDP, PPP (constant 2017 international $)",54.2
