Year,Observation status,Unit multiplier,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2007,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,1.6
2008,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,6.3
2009,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,2.2
2010,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.2
2011,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,11.3
2012,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,6.7
2013,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,4.8
2014,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,0.6
2015,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,-0.1
2016,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,1.1
2017,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.7
2018,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,3.9
2019,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,4.1
2020,Normal value,Units,Annual growth rate of real GDP per capita [8.1.1],,Percent,,-1.3
