Year,Reference area,Sex,Value
2000,,,83.9
2000,,Male,79.1
2000,,Female,88.8
2010,,,86.2
2010,,Male,81.2
2010,,Female,91.0
2021,,,77.1
2021,,Male,73.7
2021,,Female,81.1
2021,Western,,75.634916
2021,Central,,80.189875
2021,Greater Accra,,65.152207
2021,Volta,,80.799678
2021,Eastern,,79.572232
2021,Ashanti,,77.465983
2021,Western North,,82.685211
2021,Ahafo,,78.586446
2021,Bono,,79.390076
2021,Bono East,,85.502564
2021,Oti,,88.336556
2021,Northern,,84.609715
2021,Savannah,,88.568579
2021,North East,,87.889965
2021,Upper East,,78.818628
2021,Upper West,,81.309565
2021,Western,Male,71.438292
2021,Central,Male,76.500965
2021,Greater Accra,Male,59.32196
2021,Volta,Male,77.223617
2021,Eastern,Male,76.767856
2021,Ashanti,Male,74.807031
2021,Western North,Male,80.490048
2021,Ahafo,Male,76.179742
2021,Bono,Male,76.958723
2021,Bono East,Male,83.876582
2021,Oti,Male,86.126338
2021,Northern,Male,81.994204
2021,Savannah,Male,87.557364
2021,North East,Male,85.927652
2021,Upper East,Male,74.845995
2021,Upper West,Male,79.216509
2021,Western,Female,80.999687
2021,Central,Female,84.137413
2021,Greater Accra,Female,71.834694
2021,Volta,Female,84.587546
2021,Eastern,Female,82.783651
2021,Ashanti,Female,80.561914
2021,Western North,Female,85.634203
2021,Ahafo,Female,81.715023
2021,Bono,Female,82.224628
2021,Bono East,Female,87.562945
2021,Oti,Female,91.058836
2021,Northern,Female,87.996046
2021,Savannah,Female,90.398184
2021,North East,Female,90.731783
2021,Upper East,Female,83.033547
2021,Upper West,Female,84.018519
