Year,SERIES,Value
2015,Contribution of hotel and restaurant sub-sector to GDP,3.5
2016,Contribution of hotel and restaurant sub-sector to GDP,3.7
2017,Contribution of hotel and restaurant sub-sector to GDP,3.9
2018,Contribution of hotel and restaurant sub-sector to GDP,3.8
2019,Contribution of hotel and restaurant sub-sector to GDP,3.7
2020,Contribution of hotel and restaurant sub-sector to GDP,2.4
2021,Contribution of hotel and restaurant sub-sector to GDP,2.2
2015,Growth rate of hotel and restaurant sub-sector,4.1
2016,Growth rate of hotel and restaurant sub-sector,2.3
2017,Growth rate of hotel and restaurant sub-sector,7.6
2018,Growth rate of hotel and restaurant sub-sector,3.2
2019,Growth rate of hotel and restaurant sub-sector,6.0
2020,Growth rate of hotel and restaurant sub-sector,-37.0
2021,Growth rate of hotel and restaurant sub-sector,4.3
