Year,Value,UNIT_MEASURE,SERIES
2016,1.0,Percentage (%),Official development assistance grants as percentage of GNI [1.a.1]
2017,1.1,Percentage (%),Official development assistance grants as percentage of GNI [1.a.1]
2018,0.51,Percentage (%),Official development assistance grants as percentage of GNI [1.a.1]
2019,0.7,Percentage (%),Official development assistance grants as percentage of GNI [1.a.1]
2020,0.71,Percentage (%),Official development assistance grants as percentage of GNI [1.a.1]
2019,145.52,Million Ghana Cedis,Budget Allocation towards Extreme poverty (in million Ghana Cedi)
2019,1.75,Million Ghana Cedis,"Budget Allocation towards reducing poverty proportion of men, women and children by at least half (in million Ghana Cedi)"
2019,194.21,Million Ghana Cedis,Budget Allocation towards Social dimension (in million Ghana Cedi)
2019,1.89,Million Ghana Cedis,Budget Allocation towards Equal rights to basic services (in million Ghana Cedi)
2019,26.35,Million Ghana Cedis,Budget Allocation towards Building resilience of the poor and vulnerable (in million Ghana Cedi)
2019,1.14,Million Ghana Cedis,Budget Allocation towards Mobilisation of resources (in million Ghana Cedi)
2019,12.75,Million Ghana Cedis,Budget Allocation towards Pro-poor and Gender (in million Ghana Cedi)
2019,383.61,Million Ghana Cedis,Total Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs (in million Ghana Cedi)
2019,100.0,Percentage (%),Percentage share of Budget Allocation towards SDG1 (No Poverty) for MDAs/MMDAs
