Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,0.35,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
2017,0.48,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
2018,0.49,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
2019,0.25,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
2020,0.19,,Normal value,Units,Index,Agriculture orientation index for government expenditures [2.a.1]
2016,9.81,,Normal value,Units,Percent,Agriculture share of Government Expenditure [2.a.1]
2017,10.06,,Normal value,Units,Percent,Agriculture share of Government Expenditure [2.a.1]
2018,10.32,,Normal value,Units,Percent,Agriculture share of Government Expenditure [2.a.1]
2016,22.6,,Normal value,Units,Percent,Agriculture value added share of GDP [2.a.1]
2017,21.15,,Normal value,Units,Percent,Agriculture value added share of GDP [2.a.1]
2018,19.65,,Normal value,Units,Percent,Agriculture value added share of GDP [2.a.1]
