Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2016,8301,,Normal value,Units,Ratio,Doctor to population ratio
2017,8100,,Normal value,Units,Ratio,Doctor to population ratio
2018,7196,,Normal value,Units,Ratio,Doctor to population ratio
2019,6899,,Normal value,Units,Ratio,Doctor to population ratio
2020,6355,,Normal value,Units,Ratio,Doctor to population ratio
2016,823,,Normal value,Units,Ratio,Nurse to population ratio
2017,779,,Normal value,Units,Ratio,Nurse to population ratio
2018,823,,Normal value,Units,Ratio,Nurse to population ratio
2019,727,,Normal value,Units,Ratio,Nurse to population ratio
2020,698,,Normal value,Units,Ratio,Nurse to population ratio
