Year,Value,SERIES
2000,4.37,Proportion of population using safely managed sanitation services [6.2.1]
2001,4.43,Proportion of population using safely managed sanitation services [6.2.1]
2002,4.89,Proportion of population using safely managed sanitation services [6.2.1]
2003,5.35,Proportion of population using safely managed sanitation services [6.2.1]
2004,5.81,Proportion of population using safely managed sanitation services [6.2.1]
2005,6.28,Proportion of population using safely managed sanitation services [6.2.1]
2006,6.75,Proportion of population using safely managed sanitation services [6.2.1]
2007,7.22,Proportion of population using safely managed sanitation services [6.2.1]
2008,7.69,Proportion of population using safely managed sanitation services [6.2.1]
2009,8.16,Proportion of population using safely managed sanitation services [6.2.1]
2010,8.64,Proportion of population using safely managed sanitation services [6.2.1]
2011,9.11,Proportion of population using safely managed sanitation services [6.2.1]
2012,9.59,Proportion of population using safely managed sanitation services [6.2.1]
2013,10.06,Proportion of population using safely managed sanitation services [6.2.1]
2014,10.53,Proportion of population using safely managed sanitation services [6.2.1]
2015,11.0,Proportion of population using safely managed sanitation services [6.2.1]
2016,11.47,Proportion of population using safely managed sanitation services [6.2.1]
2017,11.94,Proportion of population using safely managed sanitation services [6.2.1]
2018,12.4,Proportion of population using safely managed sanitation services [6.2.1]
2019,12.87,Proportion of population using safely managed sanitation services [6.2.1]
2020,13.32,Proportion of population using safely managed sanitation services [6.2.1]
2017,41.3,Proportion of population using handwashing facility with soap and water
2018,41.4,Proportion of population using handwashing facility with soap and water
2019,41.5,Proportion of population using handwashing facility with soap and water
2020,41.5,Proportion of population using handwashing facility with soap and water
