Year,Value,GeoCode,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2007,1.6,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2008,6.3,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2009,2.2,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2010,5.2,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2011,11.3,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2012,6.7,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2013,4.8,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2014,0.6,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2015,-0.1,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2016,1.1,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2017,5.7,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2018,3.9,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2019,4.1,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
2020,-1.3,,Normal value,Units,Percent,Annual growth rate of real GDP per capita [8.1.1]
