Year,Value,SERIES
2015,3.5,Contribution of hotel and restaurant sub-sector to GDP
2016,3.7,Contribution of hotel and restaurant sub-sector to GDP
2017,3.9,Contribution of hotel and restaurant sub-sector to GDP
2018,3.8,Contribution of hotel and restaurant sub-sector to GDP
2019,3.7,Contribution of hotel and restaurant sub-sector to GDP
2020,2.4,Contribution of hotel and restaurant sub-sector to GDP
2021,2.2,Contribution of hotel and restaurant sub-sector to GDP
2015,4.1,Growth rate of hotel and restaurant sub-sector
2016,2.3,Growth rate of hotel and restaurant sub-sector
2017,7.6,Growth rate of hotel and restaurant sub-sector
2018,3.2,Growth rate of hotel and restaurant sub-sector
2019,6.0,Growth rate of hotel and restaurant sub-sector
2020,-37.0,Growth rate of hotel and restaurant sub-sector
2021,4.3,Growth rate of hotel and restaurant sub-sector
