Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,GeoCode,Value
2013,A,0,SI_POV_DAY1,01_o,,,PT,01_o,9.0
2013,A,0,SI_POV_DAY1,03_o,,,PT,03_o,2.9
2013,A,0,SI_POV_DAY1,04_o,,,PT,04_o,17.2
2013,A,0,SI_POV_DAY1,05_o,,,PT,05_o,9.6
2013,A,0,SI_POV_DAY1,06_o,,,PT,06_o,5.5
2013,A,0,SI_POV_DAY1,07_o,,,PT,07_o,13.3
2013,A,0,SI_POV_DAY1,08_o,,,PT,08_o,36.0
2013,A,0,SI_POV_DAY1,09_o,,,PT,09_o,31.0
2013,A,0,SI_POV_DAY1,10_o,,,PT,10_o,57.6
2017,A,0,SI_POV_DAY1,01_o,,,PT,01_o,3.8
2017,A,0,SI_POV_DAY1,03_o,,,PT,03_o,0.0
2017,A,0,SI_POV_DAY1,04_o,,,PT,04_o,16.5
2017,A,0,SI_POV_DAY1,05_o,,,PT,05_o,4.6
2017,A,0,SI_POV_DAY1,06_o,,,PT,06_o,3.4
2017,A,0,SI_POV_DAY1,07_o,,,PT,07_o,13.8
2017,A,0,SI_POV_DAY1,08_o,,,PT,08_o,39.3
2017,A,0,SI_POV_DAY1,09_o,,,PT,09_o,40.0
2017,A,0,SI_POV_DAY1,10_o,,,PT,10_o,55.6
2013,A,0,SI_POV_DAY1,,,,PT,,11.6
2013,A,0,SI_POV_DAY1,,,R,PT,,23.4
2013,A,0,SI_POV_DAY1,,,U,PT,,3.9
2013,A,0,SI_POV_DAY1,,M,,PT,,9.7
2013,A,0,SI_POV_DAY1,,F,,PT,,6.9
2017,A,0,SI_POV_DAY1,,,,PT,,11.9
2017,A,0,SI_POV_DAY1,,,R,PT,,22.1
2017,A,0,SI_POV_DAY1,,,U,PT,,1.9
2017,A,0,SI_POV_DAY1,,M,,PT,,13.6
2017,A,0,SI_POV_DAY1,,F,,PT,,7.6
