Year,REF_AREA,SEX,URBANISATION,GeoCode,Value
2013,,,,,24.2
2013,,,R,,37.9
2013,,,U,,10.6
2013,,M,,,25.9
2013,,F,,,19.1
2017,,,,,23.4
2017,,,R,,39.5
2017,,,U,,7.8
2017,,M,,,25.8
2017,,F,,,17.6
2017,10_o,,,10_o,70.9
2013,10_o,,,10_o,70.7
2006,10_o,,,10_o,89.1
2017,09_o,,,09_o,54.8
2013,09_o,,,09_o,44.4
2006,09_o,,,09_o,72.9
2017,08_o,,,08_o,61.1
2013,08_o,,,08_o,50.4
2006,08_o,,,08_o,55.7
2017,07_o,,,07_o,26.8
2013,07_o,,,07_o,27.9
2006,07_o,,,07_o,34.0
2017,06_o,,,06_o,11.6
2013,06_o,,,06_o,14.8
2006,06_o,,,06_o,24.0
2017,05_o,,,05_o,12.6
2013,05_o,,,05_o,21.7
2006,05_o,,,05_o,17.8
2017,04_o,,,04_o,37.3
2013,04_o,,,04_o,33.8
2006,04_o,,,04_o,37.3
2017,03_o,,,03_o,2.5
2013,03_o,,,03_o,5.6
2006,03_o,,,03_o,13.5
2017,02_o,,,02_o,13.8
2013,02_o,,,02_o,18.8
2006,02_o,,,02_o,23.4
2017,01_o,,,01_o,21.1
2013,01_o,,,01_o,20.9
2006,01_o,,,01_o,22.9
2006,,,,,28.5
1999,,,,,39.5
1992,,,,,51.7
2020,,,,,25.5
