Year,SERIES,REF_AREA,SEX,URBANISATION,GeoCode,Value
2018,SP_LGL_LNDDOC,,,,,11.9
2018,SP_LGL_LNDDOC,,M,,,12.1
2018,SP_LGL_LNDDOC,,F,,,11.5
2018,SP_LGL_LNDDOC,,,U,,17.2
2018,SP_LGL_LNDDOC,,M,U,,17.2
2018,SP_LGL_LNDDOC,,F,U,,17.3
2018,SP_LGL_LNDDOC,,,R,,10.3
2018,SP_LGL_LNDDOC,,M,R,,10.5
2018,SP_LGL_LNDDOC,,F,R,,9.7
2018,SP_LGL_LNDDOC,1,,,1,19.3
2018,SP_LGL_LNDDOC,1,M,,1,20.3
2018,SP_LGL_LNDDOC,1,F,,1,16.8
2018,SP_LGL_LNDDOC,1,,U,1,26.0
2018,SP_LGL_LNDDOC,1,M,U,1,27.5
2018,SP_LGL_LNDDOC,1,F,U,1,22.8
2018,SP_LGL_LNDDOC,1,,R,1,18.0
2018,SP_LGL_LNDDOC,1,M,R,1,19.0
2018,SP_LGL_LNDDOC,1,F,R,1,15.6
2018,SP_LGL_LNDDOC,2,,,2,16.9
2018,SP_LGL_LNDDOC,2,M,,2,17.4
2018,SP_LGL_LNDDOC,2,F,,2,15.8
2018,SP_LGL_LNDDOC,2,,U,2,24.0
2018,SP_LGL_LNDDOC,2,M,U,2,24.3
2018,SP_LGL_LNDDOC,2,F,U,2,23.4
2018,SP_LGL_LNDDOC,2,,R,2,14.7
2018,SP_LGL_LNDDOC,2,M,R,2,15.3
2018,SP_LGL_LNDDOC,2,F,R,2,13.4
2018,SP_LGL_LNDDOC,3,,,3,24.8
2018,SP_LGL_LNDDOC,3,M,,3,25.4
2018,SP_LGL_LNDDOC,3,F,,3,23.1
2018,SP_LGL_LNDDOC,3,,U,3,35.6
2018,SP_LGL_LNDDOC,3,M,U,3,35.5
2018,SP_LGL_LNDDOC,3,F,U,3,35.9
2018,SP_LGL_LNDDOC,3,,R,3,14.1
2018,SP_LGL_LNDDOC,3,M,R,3,14.6
2018,SP_LGL_LNDDOC,3,F,R,3,12.8
2018,SP_LGL_LNDDOC,4,,,4,6.7
2018,SP_LGL_LNDDOC,4,M,,4,7.4
2018,SP_LGL_LNDDOC,4,F,,4,5.6
2018,SP_LGL_LNDDOC,4,,U,4,13.8
2018,SP_LGL_LNDDOC,4,M,U,4,14.6
2018,SP_LGL_LNDDOC,4,F,U,4,12.4
2018,SP_LGL_LNDDOC,4,,R,4,4.9
2018,SP_LGL_LNDDOC,4,M,R,4,5.5
2018,SP_LGL_LNDDOC,4,F,R,4,4.0
2018,SP_LGL_LNDDOC,5,,,5,15.8
2018,SP_LGL_LNDDOC,5,M,,5,16.2
2018,SP_LGL_LNDDOC,5,F,,5,14.9
2018,SP_LGL_LNDDOC,5,,U,5,20.2
2018,SP_LGL_LNDDOC,5,M,U,5,20.6
2018,SP_LGL_LNDDOC,5,F,U,5,19.3
2018,SP_LGL_LNDDOC,5,,R,5,14.2
2018,SP_LGL_LNDDOC,5,M,R,5,14.6
2018,SP_LGL_LNDDOC,5,F,R,5,13.2
2018,SP_LGL_LNDDOC,6,,,6,15.6
2018,SP_LGL_LNDDOC,6,M,,6,16.2
2018,SP_LGL_LNDDOC,6,F,,6,14.4
2018,SP_LGL_LNDDOC,6,,U,6,18.2
2018,SP_LGL_LNDDOC,6,M,U,6,19.1
2018,SP_LGL_LNDDOC,6,F,U,6,16.6
2018,SP_LGL_LNDDOC,6,,R,6,14.7
2018,SP_LGL_LNDDOC,6,M,R,6,15.3
2018,SP_LGL_LNDDOC,6,F,R,6,13.6
2018,SP_LGL_LNDDOC,7,,,7,26.4
2018,SP_LGL_LNDDOC,7,M,,7,27.4
2018,SP_LGL_LNDDOC,7,F,,7,24.0
2018,SP_LGL_LNDDOC,7,,U,7,27.5
2018,SP_LGL_LNDDOC,7,M,U,7,28.4
2018,SP_LGL_LNDDOC,7,F,U,7,25.9
2018,SP_LGL_LNDDOC,7,,R,7,26.2
2018,SP_LGL_LNDDOC,7,M,R,7,27.2
2018,SP_LGL_LNDDOC,7,F,R,7,23.4
2018,SP_LGL_LNDDOC,8,,,8,29.3
2018,SP_LGL_LNDDOC,8,M,,8,30.8
2018,SP_LGL_LNDDOC,8,F,,8,26.0
2018,SP_LGL_LNDDOC,8,,U,8,24.2
2018,SP_LGL_LNDDOC,8,M,U,8,25.7
2018,SP_LGL_LNDDOC,8,F,U,8,21.7
2018,SP_LGL_LNDDOC,8,,R,8,32.5
2018,SP_LGL_LNDDOC,8,M,R,8,33.5
2018,SP_LGL_LNDDOC,8,F,R,8,29.7
2018,SP_LGL_LNDDOC,9,,,9,14.2
2018,SP_LGL_LNDDOC,9,M,,9,15.2
2018,SP_LGL_LNDDOC,9,F,,9,12.3
2018,SP_LGL_LNDDOC,9,,U,9,17.6
2018,SP_LGL_LNDDOC,9,M,U,9,19.0
2018,SP_LGL_LNDDOC,9,F,U,9,15.4
2018,SP_LGL_LNDDOC,9,,R,9,11.7
2018,SP_LGL_LNDDOC,9,M,R,9,12.7
2018,SP_LGL_LNDDOC,9,F,R,9,9.5
2018,SP_LGL_LNDDOC,10,,,10,6.9
2018,SP_LGL_LNDDOC,10,M,,10,6.8
2018,SP_LGL_LNDDOC,10,F,,10,7.2
2018,SP_LGL_LNDDOC,10,,U,10,10.4
2018,SP_LGL_LNDDOC,10,M,U,10,10.3
2018,SP_LGL_LNDDOC,10,F,U,10,10.6
2018,SP_LGL_LNDDOC,10,,R,10,5.1
2018,SP_LGL_LNDDOC,10,M,R,10,5.1
2018,SP_LGL_LNDDOC,10,F,R,10,5.3
2018,SP_LGL_LNDDOC,11,,,11,6.2
2018,SP_LGL_LNDDOC,11,M,,11,6.4
2018,SP_LGL_LNDDOC,11,F,,11,5.9
2018,SP_LGL_LNDDOC,11,,U,11,6.4
2018,SP_LGL_LNDDOC,11,M,U,11,6.4
2018,SP_LGL_LNDDOC,11,F,U,11,6.6
2018,SP_LGL_LNDDOC,11,,R,11,6.2
2018,SP_LGL_LNDDOC,11,M,R,11,6.4
2018,SP_LGL_LNDDOC,11,F,R,11,5.7
2018,SP_LGL_LNDDOC,12,,,12,2.9
2018,SP_LGL_LNDDOC,12,M,,12,3.1
2018,SP_LGL_LNDDOC,12,F,,12,1.7
2018,SP_LGL_LNDDOC,12,,U,12,4.3
2018,SP_LGL_LNDDOC,12,M,U,12,4.2
2018,SP_LGL_LNDDOC,12,F,U,12,4.6
2018,SP_LGL_LNDDOC,12,,R,12,2.5
2018,SP_LGL_LNDDOC,12,M,R,12,2.8
2018,SP_LGL_LNDDOC,12,F,R,12,1.4
2018,SP_LGL_LNDDOC,13,,,13,2.0
2018,SP_LGL_LNDDOC,13,M,,13,2.1
2018,SP_LGL_LNDDOC,13,F,,13,1.2
2018,SP_LGL_LNDDOC,13,,U,13,2.4
2018,SP_LGL_LNDDOC,13,M,U,13,2.3
2018,SP_LGL_LNDDOC,13,F,U,13,3.3
2018,SP_LGL_LNDDOC,13,,R,13,1.9
2018,SP_LGL_LNDDOC,13,M,R,13,2.1
2018,SP_LGL_LNDDOC,13,F,R,13,0.9
2018,SP_LGL_LNDDOC,14,,,14,1.5
2018,SP_LGL_LNDDOC,14,M,,14,1.6
2018,SP_LGL_LNDDOC,14,F,,14,0.6
2018,SP_LGL_LNDDOC,14,,U,14,2.8
2018,SP_LGL_LNDDOC,14,M,U,14,3.0
2018,SP_LGL_LNDDOC,14,F,U,14,1.7
2018,SP_LGL_LNDDOC,14,,R,14,1.1
2018,SP_LGL_LNDDOC,14,M,R,14,1.3
2018,SP_LGL_LNDDOC,14,F,R,14,0.4
2018,SP_LGL_LNDDOC,15,,,15,2.9
2018,SP_LGL_LNDDOC,15,M,,15,3.2
2018,SP_LGL_LNDDOC,15,F,,15,2.1
2018,SP_LGL_LNDDOC,15,,U,15,8.4
2018,SP_LGL_LNDDOC,15,M,U,15,9.3
2018,SP_LGL_LNDDOC,15,F,U,15,5.6
2018,SP_LGL_LNDDOC,15,,R,15,2.1
2018,SP_LGL_LNDDOC,15,M,R,15,2.3
2018,SP_LGL_LNDDOC,15,F,R,15,1.8
