Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2017,A,0,_L_GH_100301_01,,_L_GH_DISCRIMINATED,PT,,95.6
2017,A,0,_L_GH_100301_01,,_L_GH_NOT_DISCRIMINATED,PT,,4.4
2017,A,0,_L_GH_100301_01,01_o,_L_GH_DISCRIMINATED,PT,01_o,95.0
2017,A,0,_L_GH_100301_01,01_o,_L_GH_NOT_DISCRIMINATED,PT,01_o,5.0
2017,A,0,_L_GH_100301_01,02_o,_L_GH_DISCRIMINATED,PT,02_o,97.2
2017,A,0,_L_GH_100301_01,02_o,_L_GH_NOT_DISCRIMINATED,PT,02_o,2.8
2017,A,0,_L_GH_100301_01,03_o,_L_GH_DISCRIMINATED,PT,03_o,97.4
2017,A,0,_L_GH_100301_01,03_o,_L_GH_NOT_DISCRIMINATED,PT,03_o,2.6
2017,A,0,_L_GH_100301_01,04_o,_L_GH_DISCRIMINATED,PT,04_o,97.9
2017,A,0,_L_GH_100301_01,04_o,_L_GH_NOT_DISCRIMINATED,PT,04_o,2.1
2017,A,0,_L_GH_100301_01,05_o,_L_GH_DISCRIMINATED,PT,05_o,95.5
2017,A,0,_L_GH_100301_01,05_o,_L_GH_NOT_DISCRIMINATED,PT,05_o,4.5
2017,A,0,_L_GH_100301_01,06_o,_L_GH_DISCRIMINATED,PT,06_o,93.3
2017,A,0,_L_GH_100301_01,06_o,_L_GH_NOT_DISCRIMINATED,PT,06_o,6.7
2017,A,0,_L_GH_100301_01,07_o,_L_GH_DISCRIMINATED,PT,07_o,96.2
2017,A,0,_L_GH_100301_01,07_o,_L_GH_NOT_DISCRIMINATED,PT,07_o,3.8
2017,A,0,_L_GH_100301_01,08_o,_L_GH_DISCRIMINATED,PT,08_o,95.1
2017,A,0,_L_GH_100301_01,08_o,_L_GH_NOT_DISCRIMINATED,PT,08_o,4.9
2017,A,0,_L_GH_100301_01,09_o,_L_GH_DISCRIMINATED,PT,09_o,95.7
2017,A,0,_L_GH_100301_01,09_o,_L_GH_NOT_DISCRIMINATED,PT,09_o,4.3
2017,A,0,_L_GH_100301_01,10_o,_L_GH_DISCRIMINATED,PT,10_o,95.0
2017,A,0,_L_GH_100301_01,10_o,_L_GH_NOT_DISCRIMINATED,PT,10_o,5.0
