Year,COMPOSITE_BREAKDOWN,Value
1990,_L_GH_NE_W_FOLU,24.78
2000,_L_GH_NE_W_FOLU,25.59
2010,_L_GH_NE_W_FOLU,37.88
2012,_L_GH_NE_W_FOLU,41.86
2016,_L_GH_NE_W_FOLU,50.47
2019,_L_GH_NE_W_FOLU,58.56
1990,_L_GH_NE_WO_FOLU,10.2
2000,_L_GH_NE_WO_FOLU,12.29
2010,_L_GH_NE_WO_FOLU,24.35
2012,_L_GH_NE_WO_FOLU,28.34
2016,_L_GH_NE_WO_FOLU,37.1
2019,_L_GH_NE_WO_FOLU,44.04
1990,_L_GH_ENERGY,2.87
2000,_L_GH_ENERGY,4.07
2010,_L_GH_ENERGY,12.8
2012,_L_GH_ENERGY,14.91
2016,_L_GH_ENERGY,22.36
2019,_L_GH_ENERGY,27.3
1990,_L_GH_INDUPRO,1.96
2000,_L_GH_INDUPRO,0.9
2010,_L_GH_INDUPRO,0.94
2012,_L_GH_INDUPRO,2.02
2016,_L_GH_INDUPRO,1.68
2019,_L_GH_INDUPRO,1.73
1990,_L_GH_AGRICFOREST,18.82
2000,_L_GH_AGRICFOREST,18.97
2010,_L_GH_AGRICFOREST,21.25
2012,_L_GH_AGRICFOREST,21.83
2016,_L_GH_AGRICFOREST,22.8
2019,_L_GH_AGRICFOREST,25.41
1990,_L_GH_WASTE,1.13
2000,_L_GH_WASTE,1.65
2010,_L_GH_WASTE,2.89
2012,_L_GH_WASTE,3.1
2016,_L_GH_WASTE,3.63
2019,_L_GH_WASTE,4.12
