Year,SERIES,SEX,Value
2013,VC_VOV_PHYL,F,6.1
2013,VC_VOV_PHYL,M,2.1
2013,VC_VOV_SEXL,F,2.5
2013,VC_VOV_SEXL,M,1.4
2013,_L_GH_160103_01,F,9.3
2013,_L_GH_160103_01,M,7.9
2013,_L_GH_160103_02,F,11.6
2013,_L_GH_160103_02,M,7.7
2013,_L_GH_160103_03,F,12.8
2013,_L_GH_160103_03,M,7.3
2015,_L_GH_160103_02,F,20.8
2015,_L_GH_160103_02,M,18.7
2015,VC_VOV_PHYL,F,8.9
2015,VC_VOV_PHYL,M,10.2
2015,VC_VOV_SEXL,F,10.6
2015,VC_VOV_SEXL,M,9.5
2015,_L_GH_160103_01,F,22.5
2015,_L_GH_160103_01,M,28.0
2015,_L_GH_160103_03,F,14.4
2015,_L_GH_160103_03,M,12.2
