Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,COMMENT_OBS,GeoCode,Value
2011,A,0,SH_STA_STNT,,,,PT,,,22.7
2011,A,0,SH_STA_STNT,,,U,PT,,,18.1
2011,A,0,SH_STA_STNT,,,R,PT,,,2.6
2011,A,0,SH_STA_STNT,,M,,PT,,,25.3
2011,A,0,SH_STA_STNT,,F,,PT,,,20.3
2014,A,0,SH_STA_STNT,,,,PT,,,18.8
2014,A,0,SH_STA_STNT,,,U,PT,,,14.8
2014,A,0,SH_STA_STNT,,,R,PT,,,22.1
2014,A,0,SH_STA_STNT,,M,,PT,,,20.4
2014,A,0,SH_STA_STNT,,F,,PT,,,17.0
2017,A,0,SH_STA_STNT,,,,PT,,,17.5
2017,A,0,SH_STA_STNT,,,U,PT,,,13.0
2017,A,0,SH_STA_STNT,,,R,PT,,,20.3
2017,A,0,SH_STA_STNT,,M,,PT,,,19.5
2017,A,0,SH_STA_STNT,,F,,PT,,,15.6
2025,A,0,SH_STA_STNT,,,,PT,projection,,10.1
2025,A,0,SH_STA_STNT,,,U,PT,projection,,7.9
2025,A,0,SH_STA_STNT,,,R,PT,projection,,11.9
2025,A,0,SH_STA_STNT,,M,,PT,projection,,11.1
2025,A,0,SH_STA_STNT,,F,,PT,projection,,9.0
