Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2003,A,0,SH_STA_BRTC,,,,PT,,47.1
2008,A,0,SH_STA_BRTC,,,,PT,,58.7
2014,A,0,SH_STA_BRTC,,,,PT,,73.7
2017,A,0,SH_STA_BRTC,,,,PT,,79.0
2014,A,0,SH_STA_BRTC,10_o,,,PT,10_o,63.7
2017,A,0,SH_STA_BRTC,10_o,,,PT,10_o,83.0
2014,A,0,SH_STA_BRTC,09_o,,,PT,09_o,84.6
2017,A,0,SH_STA_BRTC,09_o,,,PT,09_o,94.0
2014,A,0,SH_STA_BRTC,08_o,,,PT,08_o,36.4
2017,A,0,SH_STA_BRTC,08_o,,,PT,08_o,60.0
2014,A,0,SH_STA_BRTC,07_o,,,PT,07_o,79.0
2017,A,0,SH_STA_BRTC,07_o,,,PT,07_o,86.0
2014,A,0,SH_STA_BRTC,06_o,,,PT,06_o,86.3
2017,A,0,SH_STA_BRTC,06_o,,,PT,06_o,82.0
2014,A,0,SH_STA_BRTC,05_o,,,PT,05_o,67.2
2017,A,0,SH_STA_BRTC,05_o,,,PT,05_o,79.0
2014,A,0,SH_STA_BRTC,04_o,,,PT,04_o,66.3
2017,A,0,SH_STA_BRTC,04_o,,,PT,04_o,69.0
2014,A,0,SH_STA_BRTC,03_o,,,PT,03_o,92.1
2017,A,0,SH_STA_BRTC,03_o,,,PT,03_o,93.0
2014,A,0,SH_STA_BRTC,02_o,,,PT,02_o,72.0
2017,A,0,SH_STA_BRTC,02_o,,,PT,02_o,73.0
2014,A,0,SH_STA_BRTC,01_o,,,PT,01_o,75.3
2017,A,0,SH_STA_BRTC,01_o,,,PT,01_o,80.0
2017,A,0,_L_GH_030102_01,,U,,PT,,11.0
2017,A,0,_L_GH_030102_01,08_o,U,,PT,08_o,18.0
2017,A,0,_L_GH_030102_01,04_o,U,,PT,04_o,22.0
2017,A,0,_L_GH_030102_01,05_o,U,,PT,05_o,9.0
2017,A,0,_L_GH_030102_01,02_o,U,,PT,02_o,16.0
2017,A,0,_L_GH_030102_01,01_o,U,,PT,01_o,11.0
2017,A,0,_L_GH_030102_01,07_o,U,,PT,07_o,9.0
2017,A,0,_L_GH_030102_01,06_o,U,,PT,06_o,6.0
2017,A,0,_L_GH_030102_01,10_o,U,,PT,10_o,6.0
2017,A,0,_L_GH_030102_01,03_o,U,,PT,03_o,8.0
2017,A,0,_L_GH_030102_01,09_o,U,,PT,09_o,4.0
2017,A,0,_L_GH_030102_01,,R,,PT,,29.0
2017,A,0,_L_GH_030102_01,08_o,R,,PT,08_o,49.0
2017,A,0,_L_GH_030102_01,04_o,R,,PT,04_o,45.0
2017,A,0,_L_GH_030102_01,05_o,R,,PT,05_o,32.0
2017,A,0,_L_GH_030102_01,02_o,R,,PT,02_o,31.0
2017,A,0,_L_GH_030102_01,01_o,R,,PT,01_o,30.0
2017,A,0,_L_GH_030102_01,07_o,R,,PT,07_o,28.0
2017,A,0,_L_GH_030102_01,06_o,R,,PT,06_o,27.0
2017,A,0,_L_GH_030102_01,10_o,R,,PT,10_o,22.0
2017,A,0,_L_GH_030102_01,03_o,R,,PT,03_o,14.0
2017,A,0,_L_GH_030102_01,09_o,R,,PT,09_o,10.0
2017,A,0,_L_GH_030102_02,,,_L_GH_SKILLED_CARE,PT,,91.0
2017,A,0,_L_GH_030102_02,,,_L_GH_UNSKILLED_CARE,PT,,2.0
2017,A,0,_L_GH_030102_02,,,_L_GH_NO_CARE,PT,,7.0
2017,A,0,_L_GH_030102_03,,,_L_GH_SKILLED_CARE,PT,,54.0
2017,A,0,_L_GH_030102_03,,,_L_GH_UNSKILLED_CARE,PT,,21.0
2017,A,0,_L_GH_030102_03,,,_L_GH_NO_CARE,PT,,25.0
