Year,REF_AREA,URBANISATION,GeoCode,Value
2021,,,,48.7
2021,1,,1,49.3
2021,2,,2,53.5
2021,3,,3,26.0
2021,4,,4,73.1
2021,5,,5,53.8
2021,6,,6,47.2
2021,7,,7,48.6
2021,8,,8,55.2
2021,9,,9,49.5
2021,10,,10,46.9
2021,11,,11,48.6
2021,12,,12,41.5
2021,13,,13,58.1
2021,14,,14,51.5
2021,15,,15,81.0
2021,16,,16,80.9
2021,,U,,36.5
2021,1,U,1,41.4
2021,2,U,2,46.3
2021,3,U,3,24.6
2021,4,U,4,45.2
2021,5,U,5,39.5
2021,6,U,6,39.9
2021,7,U,7,38.6
2021,8,U,8,50.8
2021,9,U,9,46.0
2021,10,U,10,36.0
2021,11,U,11,42.9
2021,12,U,12,32.7
2021,13,U,13,45.6
2021,14,U,14,42.3
2021,15,U,15,50.4
2021,16,U,16,42.4
2021,,R,,64.3
2021,1,R,1,57.6
2021,2,R,2,63.2
2021,3,R,3,40.6
2021,4,R,4,92.8
2021,5,R,5,68.1
2021,6,R,6,58.5
2021,7,R,7,52.8
2021,8,R,8,59.2
2021,9,R,9,54.2
2021,10,R,10,58.8
2021,11,R,11,51.3
2021,12,R,12,49.2
2021,13,R,13,63.3
2021,14,R,14,55.7
2021,15,R,15,91.0
2021,16,R,16,93.8
