Year,SERIES,SEX,EDUCATION_LEV,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2007,_L_GH_040301_1a,,,,,NUMBER,8500.0
2007,_L_GH_040301_1b,M,,,,NUMBER,12164.0
2007,_L_GH_040301_1b,F,,,,NUMBER,19204.0
2007,_L_GH_040301_1b,,,,,NUMBER,31368.0
2007,_L_GH_040301_1c,F,,,,PT,61.0
2008,_L_GH_040301_1a,,,,,NUMBER,1600.0
2008,_L_GH_040301_1b,M,,,,NUMBER,11573.0
2008,_L_GH_040301_1b,F,,,,NUMBER,19612.0
2008,_L_GH_040301_1b,,,,,NUMBER,31185.0
2008,_L_GH_040301_1c,F,,,,PT,63.0
2009,_L_GH_040301_1a,,,,,NUMBER,1600.0
2009,_L_GH_040301_1b,M,,,,NUMBER,14813.0
2009,_L_GH_040301_1b,F,,,,NUMBER,24041.0
2009,_L_GH_040301_1b,,,,,NUMBER,38854.0
2009,_L_GH_040301_1c,F,,,,PT,62.0
2010,_L_GH_040301_1a,,,,,NUMBER,1600.0
2010,_L_GH_040301_1b,M,,,,NUMBER,17224.0
2010,_L_GH_040301_1b,F,,,,NUMBER,24796.0
2010,_L_GH_040301_1b,,,,,NUMBER,42020.0
2010,_L_GH_040301_1c,F,,,,PT,59.0
2011,_L_GH_040301_1a,,,,,NUMBER,2000.0
2011,_L_GH_040301_1b,M,,,,NUMBER,18904.0
2011,_L_GH_040301_1b,F,,,,NUMBER,31777.0
2011,_L_GH_040301_1b,,,,,NUMBER,50681.0
2011,_L_GH_040301_1c,F,,,,PT,63.0
2013,_L_GH_040301_1a,,,,,NUMBER,1886.0
2013,_L_GH_040301_1b,M,,,,NUMBER,16195.0
2013,_L_GH_040301_1b,F,,,,NUMBER,28535.0
2013,_L_GH_040301_1b,,,,,NUMBER,44730.0
2013,_L_GH_040301_1c,F,,,,PT,64.0
2015,_L_GH_040301_1a,,,,,NUMBER,584.0
2015,_L_GH_040301_1b,M,,,,NUMBER,5612.0
2015,_L_GH_040301_1b,F,,,,NUMBER,8417.0
2015,_L_GH_040301_1b,,,,,NUMBER,14029.0
2015,_L_GH_040301_1c,F,,,,PT,60.0
2016,_L_GH_040301_2a,,ISCED11_35,,_L_GH_PUBLIC,NUMBER,155.0
2017,_L_GH_040301_2a,,ISCED11_35,,_L_GH_PUBLIC,NUMBER,164.0
2018,_L_GH_040301_2a,,ISCED11_35,,_L_GH_PUBLIC,NUMBER,115.0
2019,_L_GH_040301_2a,,ISCED11_35,,_L_GH_PUBLIC,NUMBER,129.0
2016,_L_GH_040301_2a,,ISCED11_35,,_L_GH_PRIVATE,NUMBER,29.0
2017,_L_GH_040301_2a,,ISCED11_35,,_L_GH_PRIVATE,NUMBER,32.0
2018,_L_GH_040301_2a,,ISCED11_35,,_L_GH_PRIVATE,NUMBER,62.0
2019,_L_GH_040301_2a,,ISCED11_35,,_L_GH_PRIVATE,NUMBER,48.0
2016,_L_GH_040301_2a,,ISCED11_35,,,NUMBER,184.0
2017,_L_GH_040301_2a,,ISCED11_35,,,NUMBER,196.0
2018,_L_GH_040301_2a,,ISCED11_35,,,NUMBER,177.0
2019,_L_GH_040301_2a,,ISCED11_35,,,NUMBER,177.0
2016,_L_GH_040301_2b,,ISCED11_35,,_L_GH_PRIVATE,PT,13.6
2017,_L_GH_040301_2b,,ISCED11_35,,_L_GH_PRIVATE,PT,13.6
2018,_L_GH_040301_2b,,ISCED11_35,,_L_GH_PRIVATE,PT,13.6
2019,_L_GH_040301_2b,,ISCED11_35,,_L_GH_PRIVATE,PT,27.1
2016,_L_GH_040301_2c,M,ISCED11_35,,,NUMBER,24464.0
2017,_L_GH_040301_2c,M,ISCED11_35,,,NUMBER,26092.0
2018,_L_GH_040301_2c,M,ISCED11_35,,,NUMBER,40362.0
2019,_L_GH_040301_2c,M,ISCED11_35,,,NUMBER,56258.0
2016,_L_GH_040301_2c,F,ISCED11_35,,,NUMBER,1360.0
2017,_L_GH_040301_2c,F,ISCED11_35,,,NUMBER,3185.0
2018,_L_GH_040301_2c,F,ISCED11_35,,,NUMBER,9056.0
2019,_L_GH_040301_2c,F,ISCED11_35,,,NUMBER,20512.0
2016,_L_GH_040301_2c,,ISCED11_35,,,NUMBER,25824.0
2017,_L_GH_040301_2c,,ISCED11_35,,,NUMBER,29277.0
2018,_L_GH_040301_2c,,ISCED11_35,,,NUMBER,49418.0
2019,_L_GH_040301_2c,,ISCED11_35,,,NUMBER,76770.0
2016,_L_GH_040301_2d,F,ISCED11_35,,,PT,5.6
2017,_L_GH_040301_2d,F,ISCED11_35,,,PT,12.2
2018,_L_GH_040301_2d,F,ISCED11_35,,,PT,22.4
2019,_L_GH_040301_2d,F,ISCED11_35,,,PT,36.5
2016,_L_GH_040301_3a,,ISCED11_25_35_45,GES,_L_GH_PUBLIC,NUMBER,45.0
2017,_L_GH_040301_3a,,ISCED11_25_35_45,GES,_L_GH_PUBLIC,NUMBER,47.0
2018,_L_GH_040301_3a,,ISCED11_25_35_45,GES,_L_GH_PUBLIC,NUMBER,47.0
2019,_L_GH_040301_3a,,ISCED11_25_35_45,GES,_L_GH_PUBLIC,NUMBER,47.0
2016,_L_GH_040301_3a,,ISCED11_25_35_45,OTHER_PUBLIC,_L_GH_PUBLIC,NUMBER,64.0
2017,_L_GH_040301_3a,,ISCED11_25_35_45,OTHER_PUBLIC,_L_GH_PUBLIC,NUMBER,73.0
2018,_L_GH_040301_3a,,ISCED11_25_35_45,OTHER_PUBLIC,_L_GH_PUBLIC,NUMBER,68.0
2019,_L_GH_040301_3a,,ISCED11_25_35_45,OTHER_PUBLIC,_L_GH_PUBLIC,NUMBER,82.0
2016,_L_GH_040301_3a,,ISCED11_25_35_45,,_L_GH_PUBLIC,NUMBER,109.0
2017,_L_GH_040301_3a,,ISCED11_25_35_45,,_L_GH_PUBLIC,NUMBER,120.0
2018,_L_GH_040301_3a,,ISCED11_25_35_45,,_L_GH_PUBLIC,NUMBER,115.0
2019,_L_GH_040301_3a,,ISCED11_25_35_45,,_L_GH_PUBLIC,NUMBER,129.0
2016,_L_GH_040301_3a,,ISCED11_25_35_45,,_L_GH_PRIVATE,NUMBER,55.0
2017,_L_GH_040301_3a,,ISCED11_25_35_45,,_L_GH_PRIVATE,NUMBER,58.0
2018,_L_GH_040301_3a,,ISCED11_25_35_45,,_L_GH_PRIVATE,NUMBER,62.0
2019,_L_GH_040301_3a,,ISCED11_25_35_45,,_L_GH_PRIVATE,NUMBER,48.0
2016,_L_GH_040301_3a,,ISCED11_25_35_45,,,NUMBER,164.0
2017,_L_GH_040301_3a,,ISCED11_25_35_45,,,NUMBER,178.0
2018,_L_GH_040301_3a,,ISCED11_25_35_45,,,NUMBER,177.0
2019,_L_GH_040301_3a,,ISCED11_25_35_45,,,NUMBER,177.0
2016,_L_GH_040301_3b,,ISCED11_25_35_45,GES,_L_GH_PUBLIC,NUMBER,38459.0
2017,_L_GH_040301_3b,,ISCED11_25_35_45,GES,_L_GH_PUBLIC,NUMBER,45215.0
2018,_L_GH_040301_3b,,ISCED11_25_35_45,GES,_L_GH_PUBLIC,NUMBER,49418.0
2019,_L_GH_040301_3b,,ISCED11_25_35_45,GES,_L_GH_PUBLIC,NUMBER,59583.0
2016,_L_GH_040301_3b,,ISCED11_25_35_45,OTHER_PUBLIC,_L_GH_PUBLIC,NUMBER,9897.0
2017,_L_GH_040301_3b,,ISCED11_25_35_45,OTHER_PUBLIC,_L_GH_PUBLIC,NUMBER,9217.0
2018,_L_GH_040301_3b,,ISCED11_25_35_45,OTHER_PUBLIC,_L_GH_PUBLIC,NUMBER,8328.0
