Year,Reference area,Education level,Value
2019,Upper West,Pre-primary education,1.0
2019,Upper East,Pre-primary education,0.98
2019,Central,Pre-primary education,1.04
2019,Volta,Pre-primary education,0.99
2019,Ashanti,Pre-primary education,0.98
2019,Eastern,Pre-primary education,0.96
2019,Greater Accra,Pre-primary education,1.04
2019,Brong Ahafo,Pre-primary education,1.07
2019,Northern,Pre-primary education,1.02
2019,Western,Pre-primary education,0.96
2019,,Pre-primary education,0.99
2019,Upper West,Primary education,1.01
2019,Upper East,Primary education,0.99
2019,Central,Primary education,1.03
2019,Volta,Primary education,1.0
2019,Ashanti,Primary education,1.0
2019,Eastern,Primary education,0.95
2019,Greater Accra,Primary education,1.05
2019,Brong Ahafo,Primary education,1.1
2019,Northern,Primary education,1.02
2019,Western,Primary education,0.95
2019,,Primary education,1.0
2019,Upper West,Junior High School (JHS),1.01
2019,Upper East,Junior High School (JHS),0.97
2019,Central,Junior High School (JHS),1.06
2019,Volta,Junior High School (JHS),1.03
2019,Ashanti,Junior High School (JHS),1.0
2019,Eastern,Junior High School (JHS),0.95
2019,Greater Accra,Junior High School (JHS),1.19
2019,Brong Ahafo,Junior High School (JHS),1.14
2019,Northern,Junior High School (JHS),1.03
2019,Western,Junior High School (JHS),0.95
2019,,Junior High School (JHS),1.02
2019,Upper West,Senior High School (SHS),0.94
2019,Upper East,Senior High School (SHS),0.98
2019,Central,Senior High School (SHS),0.97
2019,Volta,Senior High School (SHS),1.09
2019,Ashanti,Senior High School (SHS),0.74
2019,Eastern,Senior High School (SHS),0.89
2019,Greater Accra,Senior High School (SHS),1.04
2019,Brong Ahafo,Senior High School (SHS),0.93
2019,Northern,Senior High School (SHS),1.0
2019,Western,Senior High School (SHS),0.94
2019,,Senior High School (SHS),0.95
2017,,Pre-primary education,1.0
2018,,Pre-primary education,1.0
2020,,Pre-primary education,1.03
2021,,Pre-primary education,0.99
2017,,Primary education,1.03
2018,,Primary education,1.0
2020,,Primary education,1.02
2021,,Primary education,1.0
2017,,Junior High School (JHS),0.97
2018,,Junior High School (JHS),1.0
2020,,Junior High School (JHS),1.02
2021,,Junior High School (JHS),1.0
2017,,Senior High School (SHS),0.96
2018,,Senior High School (SHS),0.92
2020,,Senior High School (SHS),0.96
