Year,SERIES,SEX,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,VC_VAW_PHYV,F,,PT,36.9
2018,VC_VAW_PSYV,F,_L_GH_VERB_ASS,PT,32.5
2018,VC_VAW_PSYV,F,_L_GH_CURSE,PT,6.5
2018,VC_VAW_SEXV,F,_L_GH_RAPE_SED,PT,1.8
2018,VC_VAW_SEXV,F,_L_GH_DEFILE,PT,0.9
2018,VC_VAW_SEXV,F,_L_GH_SEX_HER,PT,1.9
2010,_L_GH_050201,,,NUMBER,12706.0
2011,_L_GH_050201,,,NUMBER,17965.0
2012,_L_GH_050201,,,NUMBER,17655.0
2013,_L_GH_050201,,,NUMBER,19171.0
2014,_L_GH_050201,,,NUMBER,17655.0
2015,_L_GH_050201,,,NUMBER,15749.0
2016,_L_GH_050201,,,NUMBER,12377.0
2017,_L_GH_050201,,,NUMBER,8324.0
