Year,SERIES,URBANISATION,COMPOSITE_BREAKDOWN,Value
2017,_L_GH_060101_01,,_L_GH_TANKER,0.5
2017,_L_GH_060101_01,,_L_GH_SACHET_WATER,35.0
2017,_L_GH_060101_01,,_L_GH_BOTTLED_WATER,0.6
2017,_L_GH_060101_01,,_NATURAL_SOURCE,8.0
2017,_L_GH_060101_01,,_L_GH_WELL,28.5
2017,_L_GH_060101_01,,_L_GH_PIPE_BORNE,27.3
2015,_L_GH_060101_02,,_L_GH_SAFELY_MANAGED,33.0
2015,_L_GH_060101_02,,_L_GH_BASIC_SERVICE,47.0
2015,_L_GH_060101_02,,_L_GH_LIMITED_SERVICE,8.0
2015,_L_GH_060101_02,,_L_GH_UNIMPROVED,4.0
2015,_L_GH_060101_02,,_L_GH_SURFACE_WATER,8.0
2017,_L_GH_060101_02,,_L_GH_SAFELY_MANAGED,36.0
2017,_L_GH_060101_02,,_L_GH_BASIC_SERVICE,45.0
2017,_L_GH_060101_02,,_L_GH_LIMITED_SERVICE,8.0
2017,_L_GH_060101_02,,_L_GH_UNIMPROVED,4.0
2017,_L_GH_060101_02,,_L_GH_SURFACE_WATER,6.0
2020,_L_GH_060101_02,,_L_GH_SAFELY_MANAGED,41.0
2020,_L_GH_060101_02,,_L_GH_BASIC_SERVICE,45.0
2020,_L_GH_060101_02,,_L_GH_LIMITED_SERVICE,7.0
2020,_L_GH_060101_02,,_L_GH_UNIMPROVED,3.0
2020,_L_GH_060101_02,,_L_GH_SURFACE_WATER,5.0
2015,_L_GH_060101_02,R,_L_GH_SAFELY_MANAGED,11.0
2015,_L_GH_060101_02,R,_L_GH_BASIC_SERVICE,56.0
2015,_L_GH_060101_02,R,_L_GH_LIMITED_SERVICE,11.0
2015,_L_GH_060101_02,R,_L_GH_UNIMPROVED,16.0
2015,_L_GH_060101_02,R,_L_GH_SURFACE_WATER,15.0
2017,_L_GH_060101_02,R,_L_GH_SAFELY_MANAGED,11.0
2017,_L_GH_060101_02,R,_L_GH_BASIC_SERVICE,56.0
2017,_L_GH_060101_02,R,_L_GH_LIMITED_SERVICE,13.0
2017,_L_GH_060101_02,R,_L_GH_UNIMPROVED,6.0
2017,_L_GH_060101_02,R,_L_GH_SURFACE_WATER,15.0
2020,_L_GH_060101_02,R,_L_GH_SAFELY_MANAGED,16.0
2020,_L_GH_060101_02,R,_L_GH_BASIC_SERVICE,56.0
2020,_L_GH_060101_02,R,_L_GH_LIMITED_SERVICE,12.0
2020,_L_GH_060101_02,R,_L_GH_UNIMPROVED,5.0
2020,_L_GH_060101_02,R,_L_GH_SURFACE_WATER,11.0
2015,_L_GH_060101_02,U,_L_GH_SAFELY_MANAGED,52.0
2015,_L_GH_060101_02,U,_L_GH_BASIC_SERVICE,39.0
2015,_L_GH_060101_02,U,_L_GH_LIMITED_SERVICE,5.0
2015,_L_GH_060101_02,U,_L_GH_UNIMPROVED,3.0
2015,_L_GH_060101_02,U,_L_GH_SURFACE_WATER,1.0
2017,_L_GH_060101_02,U,_L_GH_SAFELY_MANAGED,57.0
2017,_L_GH_060101_02,U,_L_GH_BASIC_SERVICE,36.0
2017,_L_GH_060101_02,U,_L_GH_LIMITED_SERVICE,5.0
2017,_L_GH_060101_02,U,_L_GH_UNIMPROVED,2.0
2017,_L_GH_060101_02,U,_L_GH_SURFACE_WATER,0.0
2020,_L_GH_060101_02,U,_L_GH_SAFELY_MANAGED,60.0
2020,_L_GH_060101_02,U,_L_GH_BASIC_SERVICE,36.0
2020,_L_GH_060101_02,U,_L_GH_LIMITED_SERVICE,3.0
2020,_L_GH_060101_02,U,_L_GH_UNIMPROVED,1.0
2020,_L_GH_060101_02,U,_L_GH_SURFACE_WATER,0.0
