Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
1999,A,0,EG_ACS_ELEC,,,PT,,41.0
2006,A,0,EG_ACS_ELEC,,,PT,,49.2
2013,A,0,EG_ACS_ELEC,,,PT,,70.6
2017,A,0,EG_ACS_ELEC,,,PT,,81.1
2018,A,0,EG_ACS_ELEC,,,PT,,84.3
2019,A,0,EG_ACS_ELEC,,,PT,,85.0
2020,A,0,EG_ACS_ELEC,,,PT,,85.3
2021,A,0,EG_ACS_ELEC,,,PT,,84.1
2021,A,0,EG_ACS_ELEC,1,,PT,1,88.9
2021,A,0,EG_ACS_ELEC,2,,PT,2,91.8
2021,A,0,EG_ACS_ELEC,3,,PT,3,96.5
2021,A,0,EG_ACS_ELEC,4,,PT,4,85.4
2021,A,0,EG_ACS_ELEC,5,,PT,5,87.7
2021,A,0,EG_ACS_ELEC,6,,PT,6,87.4
2021,A,0,EG_ACS_ELEC,7,,PT,7,75.2
2021,A,0,EG_ACS_ELEC,8,,PT,8,72.7
2021,A,0,EG_ACS_ELEC,9,,PT,9,83.5
2021,A,0,EG_ACS_ELEC,10,,PT,10,73.8
2021,A,0,EG_ACS_ELEC,11,,PT,11,70.2
2021,A,0,EG_ACS_ELEC,12,,PT,12,77.0
2021,A,0,EG_ACS_ELEC,13,,PT,13,59.6
2021,A,0,EG_ACS_ELEC,14,,PT,14,71.4
2021,A,0,EG_ACS_ELEC,15,,PT,15,55.1
2021,A,0,EG_ACS_ELEC,16,,PT,16,70.5
2021,A,0,EG_ACS_ELEC,,U,PT,,95.0
2021,A,0,EG_ACS_ELEC,1,U,PT,1,97.5
2021,A,0,EG_ACS_ELEC,2,U,PT,2,95.8
2021,A,0,EG_ACS_ELEC,3,U,PT,3,97.3
2021,A,0,EG_ACS_ELEC,4,U,PT,4,91.8
2021,A,0,EG_ACS_ELEC,5,U,PT,5,95.1
2021,A,0,EG_ACS_ELEC,6,U,PT,6,94.7
2021,A,0,EG_ACS_ELEC,7,U,PT,7,96.7
2021,A,0,EG_ACS_ELEC,8,U,PT,8,90.3
2021,A,0,EG_ACS_ELEC,9,U,PT,9,92.8
2021,A,0,EG_ACS_ELEC,10,U,PT,10,89.3
2021,A,0,EG_ACS_ELEC,11,U,PT,11,87.5
2021,A,0,EG_ACS_ELEC,12,U,PT,12,95.5
2021,A,0,EG_ACS_ELEC,13,U,PT,13,89.5
2021,A,0,EG_ACS_ELEC,14,U,PT,14,87.9
2021,A,0,EG_ACS_ELEC,15,U,PT,15,90.0
2021,A,0,EG_ACS_ELEC,16,U,PT,16,93.2
2021,A,0,EG_ACS_ELEC,,R,PT,,70.3
2021,A,0,EG_ACS_ELEC,1,R,PT,1,80.1
2021,A,0,EG_ACS_ELEC,2,R,PT,2,86.4
2021,A,0,EG_ACS_ELEC,3,R,PT,3,88.5
2021,A,0,EG_ACS_ELEC,4,R,PT,4,80.9
2021,A,0,EG_ACS_ELEC,5,R,PT,5,80.1
2021,A,0,EG_ACS_ELEC,6,R,PT,6,76.1
2021,A,0,EG_ACS_ELEC,7,R,PT,7,66.4
2021,A,0,EG_ACS_ELEC,8,R,PT,8,56.8
2021,A,0,EG_ACS_ELEC,9,R,PT,9,70.8
2021,A,0,EG_ACS_ELEC,10,R,PT,10,57.0
2021,A,0,EG_ACS_ELEC,11,R,PT,11,62.1
2021,A,0,EG_ACS_ELEC,12,R,PT,12,60.9
2021,A,0,EG_ACS_ELEC,13,R,PT,13,47.3
2021,A,0,EG_ACS_ELEC,14,R,PT,14,63.7
2021,A,0,EG_ACS_ELEC,15,R,PT,15,43.7
2021,A,0,EG_ACS_ELEC,16,R,PT,16,63.0
