Year,SERIES,Value
2010,_L_GH_070301_01,73.8
2013,_L_GH_070301_01,68.7
2014,_L_GH_070301_01,68.2
2015,_L_GH_070301_01,69.7
2016,_L_GH_070301_01,67.5
2017,_L_GH_070301_01,61.4
2018,_L_GH_070301_01,68.2
2019,_L_GH_070301_01,65.8
2020,_L_GH_070301_01,72.2
2021,_L_GH_070301_01,71.8
2010,_L_GH_070301_02,58.7
2013,_L_GH_070301_02,54.3
2014,_L_GH_070301_02,53.5
2015,_L_GH_070301_02,54.4
2016,_L_GH_070301_02,52.1
2017,_L_GH_070301_02,48.4
2018,_L_GH_070301_02,49.2
2019,_L_GH_070301_02,47.8
2020,_L_GH_070301_02,51.1
2021,_L_GH_070301_02,54.2
