Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2010,A,0,FB_ATM_TOTL,,PER_100000_POP,,4.3
2011,A,0,FB_ATM_TOTL,,PER_100000_POP,,4.4
2012,A,0,FB_ATM_TOTL,,PER_100000_POP,,5.9
2013,A,0,FB_ATM_TOTL,,PER_100000_POP,,8.8
2014,A,0,FB_ATM_TOTL,,PER_100000_POP,,8.9
2015,A,0,FB_ATM_TOTL,,PER_100000_POP,,11.1
2016,A,0,FB_ATM_TOTL,,PER_100000_POP,,12.1
2017,A,0,FB_ATM_TOTL,,PER_100000_POP,,12.5
2018,A,0,FB_ATM_TOTL,,PER_100000_POP,,12.8
2019,A,0,FB_ATM_TOTL,,PER_100000_POP,,11.3
2010,A,0,FB_CBK_BRCH,,PER_100000_POP,,5.7
2011,A,0,FB_CBK_BRCH,,PER_100000_POP,,5.7
2012,A,0,FB_CBK_BRCH,,PER_100000_POP,,6.1
2013,A,0,FB_CBK_BRCH,,PER_100000_POP,,6.1
2014,A,0,FB_CBK_BRCH,,PER_100000_POP,,7.4
2015,A,0,FB_CBK_BRCH,,PER_100000_POP,,7.6
2016,A,0,FB_CBK_BRCH,,PER_100000_POP,,8.5
2017,A,0,FB_CBK_BRCH,,PER_100000_POP,,9.2
2018,A,0,FB_CBK_BRCH,,PER_100000_POP,,9.3
2019,A,0,FB_CBK_BRCH,,PER_100000_POP,,6.3
