Year,REF_AREA,SEX,GeoCode,Value
2000,,,,83.9
2000,,M,,79.1
2000,,F,,88.8
2010,,,,86.2
2010,,M,,81.2
2010,,F,,91.0
2021,,,,77.1
2021,,M,,73.7
2021,,F,,81.1
2021,1,,1,75.634916
2021,2,,2,80.189875
2021,3,,3,65.152207
2021,4,,4,80.799678
2021,5,,5,79.572232
2021,6,,6,77.465983
2021,7,,7,82.685211
2021,8,,8,78.586446
2021,9,,9,79.390076
2021,10,,10,85.502564
2021,11,,11,88.336556
2021,12,,12,84.609715
2021,13,,13,88.568579
2021,14,,14,87.889965
2021,15,,15,78.818628
2021,16,,16,81.309565
2021,1,M,1,71.438292
2021,2,M,2,76.500965
2021,3,M,3,59.32196
2021,4,M,4,77.223617
2021,5,M,5,76.767856
2021,6,M,6,74.807031
2021,7,M,7,80.490048
2021,8,M,8,76.179742
2021,9,M,9,76.958723
2021,10,M,10,83.876582
2021,11,M,11,86.126338
2021,12,M,12,81.994204
2021,13,M,13,87.557364
2021,14,M,14,85.927652
2021,15,M,15,74.845995
2021,16,M,16,79.216509
2021,1,F,1,80.999687
2021,2,F,2,84.137413
2021,3,F,3,71.834694
2021,4,F,4,84.587546
2021,5,F,5,82.783651
2021,6,F,6,80.561914
2021,7,F,7,85.634203
2021,8,F,8,81.715023
2021,9,F,9,82.224628
2021,10,F,10,87.562945
2021,11,F,11,91.058836
2021,12,F,12,87.996046
2021,13,F,13,90.398184
2021,14,F,14,90.731783
2021,15,F,15,83.033547
2021,16,F,16,84.018519
