Year,SEX,COMPOSITE_BREAKDOWN,Value
2020,M,,2.0
2020,F,,2.1
2020,,,2.0
2020,M,_L_GH_ECOWAS,0.7
2020,F,_L_GH_ECOWAS,0.6
2020,,_L_GH_ECOWAS,0.7
2020,M,_L_GH_OTHER_AFRICA,1.9
2020,F,_L_GH_OTHER_AFRICA,2.4
2020,,_L_GH_OTHER_AFRICA,1.9
2020,M,_L_GH_EUROPE,1.8
2020,F,_L_GH_EUROPE,2.0
2020,,_L_GH_EUROPE,1.9
2020,M,_L_GH_MIDDLEEAST,2.0
2020,F,_L_GH_MIDDLEEAST,4.1
2020,,_L_GH_MIDDLEEAST,3.0
2020,M,_L_GH_ASIA,2.6
2020,F,_L_GH_ASIA,3.0
2020,,_L_GH_ASIA,2.7
2020,M,_L_GH_AMERICA,2.7
2020,F,_L_GH_AMERICA,1.7
2020,,_L_GH_AMERICA,2.3
2020,F,_L_GH_OCEANIA,2.1
2020,,_L_GH_OCEANIA,2.1
