Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2017,A,0,SM_POP_REFG_OR,,,PT,,39.1
2017,A,0,SM_POP_REFG_OR,,CI,PT,,23.1
2017,A,0,SM_POP_REFG_OR,,TG,PT,,11.8
2017,A,0,SM_POP_REFG_OR,,LR,PT,,4.2
2018,A,0,SM_POP_REFG_OR,,,PT,,36.3
2018,A,0,SM_POP_REFG_OR,,CI,PT,,22.2
2018,A,0,SM_POP_REFG_OR,,TG,PT,,11.6
2018,A,0,SM_POP_REFG_OR,,LR,PT,,2.5
2019,A,0,SM_POP_REFG_OR,,,PT,,35.4
2019,A,0,SM_POP_REFG_OR,,CI,PT,,21.5
2019,A,0,SM_POP_REFG_OR,,TG,PT,,11.4
2019,A,0,SM_POP_REFG_OR,,LR,PT,,2.4
2020,A,0,SM_POP_REFG_OR,,,PT,,34.2
2020,A,0,SM_POP_REFG_OR,,CI,PT,,20.7
2020,A,0,SM_POP_REFG_OR,,TG,PT,,11.2
2020,A,0,SM_POP_REFG_OR,,LR,PT,,2.2
2021,A,0,SM_POP_REFG_OR,,,PT,,34.2
2021,A,0,SM_POP_REFG_OR,,CI,PT,,20.8
2021,A,0,SM_POP_REFG_OR,,TG,PT,,11.2
2021,A,0,SM_POP_REFG_OR,,LR,PT,,2.2
