Year,PRODUCT,Value
2010,CPC2_1_112,17.4
2010,CPC2_1_113,5.3
2010,CPC2_1_114,7.3
2010,_L_GH_Cassava,24.2
2010,_L_GH_Yam,20.9
2010,_L_GH_Fish_Marine,30.2
2010,_L_GH_Fish_Artisanal,30.2
2011,CPC2_1_112,16.9
2011,CPC2_1_113,5.1
2011,CPC2_1_114,7.1
2011,_L_GH_Cassava,23.6
2011,_L_GH_Yam,20.4
2011,_L_GH_Fish_Marine,29.5
2011,_L_GH_Fish_Artisanal,29.5
2012,CPC2_1_112,16.5
2012,CPC2_1_113,5.0
2012,CPC2_1_114,6.9
2012,_L_GH_Cassava,23.0
2012,_L_GH_Yam,19.8
2012,_L_GH_Fish_Marine,28.7
2012,_L_GH_Fish_Artisanal,28.8
2013,CPC2_1_112,16.1
2013,CPC2_1_113,4.9
2013,CPC2_1_114,6.8
2013,_L_GH_Cassava,22.4
2013,_L_GH_Yam,19.3
2013,_L_GH_Fish_Marine,28.0
2013,_L_GH_Fish_Artisanal,28.1
2014,CPC2_1_112,15.7
2014,CPC2_1_113,4.8
2014,CPC2_1_114,6.6
2014,_L_GH_Cassava,21.9
2014,_L_GH_Yam,18.9
2014,_L_GH_Fish_Marine,27.3
2014,_L_GH_Fish_Artisanal,27.4
2015,CPC2_1_112,15.3
2015,CPC2_1_113,4.6
2015,CPC2_1_114,6.4
2015,_L_GH_Cassava,21.3
2015,_L_GH_Yam,18.4
2015,_L_GH_Fish_Marine,26.6
2015,_L_GH_Fish_Artisanal,26.7
2016,CPC2_1_112,18.3
2016,CPC2_1_113,5.5
2016,CPC2_1_114,7.5
2016,_L_GH_Cassava,25.5
2016,_L_GH_Yam,22.0
2016,_L_GH_Fish_Marine,26.6
2016,_L_GH_Fish_Artisanal,26.7
2017,CPC2_1_112,17.5
2017,CPC2_1_113,5.2
2017,CPC2_1_114,7.3
2017,_L_GH_Cassava,25.1
2017,_L_GH_Yam,21.5
2017,_L_GH_Fish_Marine,26.6
2017,_L_GH_Fish_Artisanal,26.7
2018,CPC2_1_112,17.7
2018,CPC2_1_113,4.8
2018,CPC2_1_114,7.1
2018,_L_GH_Cassava,24.7
2018,_L_GH_Yam,21.0
2018,_L_GH_Fish_Marine,26.6
2018,_L_GH_Fish_Artisanal,26.7
2019,CPC2_1_112,16.9
2019,CPC2_1_113,4.5
2019,CPC2_1_114,5.7
2019,_L_GH_Cassava,23.7
2019,_L_GH_Yam,20.8
2019,_L_GH_Fish_Marine,25.3
2019,_L_GH_Fish_Artisanal,25.5
