Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
1990,A,0,_L_GH_130202_01,,_L_GH_NE_W_FOLU,TCO2E,,24.78
2000,A,0,_L_GH_130202_01,,_L_GH_NE_W_FOLU,TCO2E,,25.59
2010,A,0,_L_GH_130202_01,,_L_GH_NE_W_FOLU,TCO2E,,37.88
2012,A,0,_L_GH_130202_01,,_L_GH_NE_W_FOLU,TCO2E,,41.86
2016,A,0,_L_GH_130202_01,,_L_GH_NE_W_FOLU,TCO2E,,50.47
2019,A,0,_L_GH_130202_01,,_L_GH_NE_W_FOLU,TCO2E,,58.56
1990,A,0,_L_GH_130202_01,,_L_GH_NE_WO_FOLU,TCO2E,,10.2
2000,A,0,_L_GH_130202_01,,_L_GH_NE_WO_FOLU,TCO2E,,12.29
2010,A,0,_L_GH_130202_01,,_L_GH_NE_WO_FOLU,TCO2E,,24.35
2012,A,0,_L_GH_130202_01,,_L_GH_NE_WO_FOLU,TCO2E,,28.34
2016,A,0,_L_GH_130202_01,,_L_GH_NE_WO_FOLU,TCO2E,,37.1
2019,A,0,_L_GH_130202_01,,_L_GH_NE_WO_FOLU,TCO2E,,44.04
1990,A,0,_L_GH_130202_01,,_L_GH_ENERGY,TCO2E,,2.87
2000,A,0,_L_GH_130202_01,,_L_GH_ENERGY,TCO2E,,4.07
2010,A,0,_L_GH_130202_01,,_L_GH_ENERGY,TCO2E,,12.8
2012,A,0,_L_GH_130202_01,,_L_GH_ENERGY,TCO2E,,14.91
2016,A,0,_L_GH_130202_01,,_L_GH_ENERGY,TCO2E,,22.36
2019,A,0,_L_GH_130202_01,,_L_GH_ENERGY,TCO2E,,27.3
1990,A,0,_L_GH_130202_01,,_L_GH_INDUPRO,TCO2E,,1.96
2000,A,0,_L_GH_130202_01,,_L_GH_INDUPRO,TCO2E,,0.9
2010,A,0,_L_GH_130202_01,,_L_GH_INDUPRO,TCO2E,,0.94
2012,A,0,_L_GH_130202_01,,_L_GH_INDUPRO,TCO2E,,2.02
2016,A,0,_L_GH_130202_01,,_L_GH_INDUPRO,TCO2E,,1.68
2019,A,0,_L_GH_130202_01,,_L_GH_INDUPRO,TCO2E,,1.73
1990,A,0,_L_GH_130202_01,,_L_GH_AGRICFOREST,TCO2E,,18.82
2000,A,0,_L_GH_130202_01,,_L_GH_AGRICFOREST,TCO2E,,18.97
2010,A,0,_L_GH_130202_01,,_L_GH_AGRICFOREST,TCO2E,,21.25
2012,A,0,_L_GH_130202_01,,_L_GH_AGRICFOREST,TCO2E,,21.83
2016,A,0,_L_GH_130202_01,,_L_GH_AGRICFOREST,TCO2E,,22.8
2019,A,0,_L_GH_130202_01,,_L_GH_AGRICFOREST,TCO2E,,25.41
1990,A,0,_L_GH_130202_01,,_L_GH_WASTE,TCO2E,,1.13
2000,A,0,_L_GH_130202_01,,_L_GH_WASTE,TCO2E,,1.65
2010,A,0,_L_GH_130202_01,,_L_GH_WASTE,TCO2E,,2.89
2012,A,0,_L_GH_130202_01,,_L_GH_WASTE,TCO2E,,3.1
2016,A,0,_L_GH_130202_01,,_L_GH_WASTE,TCO2E,,3.63
2019,A,0,_L_GH_130202_01,,_L_GH_WASTE,TCO2E,,4.12
