Year,COMPOSITE_BREAKDOWN,Value
2016,,63.19
2017,,63.74
2018,,63.92
2019,,63.44
2020,,63.32
2021,,63.26
2016,_L_GH_140501_02,50.11
2017,_L_GH_140501_02,49.81
2018,_L_GH_140501_02,49.27
2019,_L_GH_140501_02,48.61
2020,_L_GH_140501_02,47.71
2021,_L_GH_140501_02,47.22
2016,_L_GH_140501_03,50.11
2017,_L_GH_140501_03,49.82
2018,_L_GH_140501_03,49.28
2019,_L_GH_140501_03,48.61
2020,_L_GH_140501_03,47.71
2021,_L_GH_140501_03,47.22
2016,_L_GH_140501_04,0.01
2017,_L_GH_140501_04,0.01
2018,_L_GH_140501_04,0.01
2019,_L_GH_140501_04,0.01
2020,_L_GH_140501_04,0.01
2021,_L_GH_140501_04,0.01
2016,_L_GH_140501_05,72.01
2017,_L_GH_140501_05,71.12
2018,_L_GH_140501_05,69.9
2019,_L_GH_140501_05,69.05
2020,_L_GH_140501_05,68.33
2021,_L_GH_140501_05,67.95
2016,_L_GH_140501_06,55.93
2017,_L_GH_140501_06,62.57
2018,_L_GH_140501_06,66.79
2019,_L_GH_140501_06,68.11
2020,_L_GH_140501_06,68.48
2021,_L_GH_140501_06,69.01
2016,_L_GH_140501_07,99.09
2017,_L_GH_140501_07,99.09
2018,_L_GH_140501_07,99.09
2019,_L_GH_140501_07,99.09
2020,_L_GH_140501_07,99.09
2021,_L_GH_140501_07,99.09
2016,_L_GH_140501_08,98.0
2017,_L_GH_140501_08,98.0
2018,_L_GH_140501_08,98.0
2019,_L_GH_140501_08,98.0
2020,_L_GH_140501_08,98.0
2021,_L_GH_140501_08,98.0
2016,_L_GH_140501_09,93.84
2017,_L_GH_140501_09,93.84
2018,_L_GH_140501_09,93.84
2019,_L_GH_140501_09,93.84
2020,_L_GH_140501_09,93.84
2021,_L_GH_140501_09,93.84
2016,_L_GH_140501_10,89.35
2017,_L_GH_140501_10,89.35
2018,_L_GH_140501_10,89.35
2019,_L_GH_140501_10,89.35
2020,_L_GH_140501_10,89.35
2021,_L_GH_140501_10,89.35
2016,_L_GH_140501_11,98.32
2017,_L_GH_140501_11,98.32
2018,_L_GH_140501_11,98.32
2019,_L_GH_140501_11,98.32
2020,_L_GH_140501_11,98.32
2021,_L_GH_140501_11,98.32
2016,_L_GH_140501_12,10.65
2017,_L_GH_140501_12,11.12
2018,_L_GH_140501_12,11.15
2019,_L_GH_140501_12,11.35
2020,_L_GH_140501_12,11.6
2021,_L_GH_140501_12,11.58
2016,_L_GH_140501_13,35.46
2017,_L_GH_140501_13,35.44
2018,_L_GH_140501_13,35.42
2019,_L_GH_140501_13,32.25
2020,_L_GH_140501_13,32.18
2021,_L_GH_140501_13,32.11
2016,_L_GH_140501_14,68.18
2017,_L_GH_140501_14,68.14
2018,_L_GH_140501_14,68.1
2019,_L_GH_140501_14,61.76
2020,_L_GH_140501_14,61.63
2021,_L_GH_140501_14,61.49
2016,_L_GH_140501_15,2.73
2017,_L_GH_140501_15,2.73
2018,_L_GH_140501_15,2.73
2019,_L_GH_140501_15,2.73
2020,_L_GH_140501_15,2.73
2021,_L_GH_140501_15,2.73
2016,_L_GH_140501_16,35.55
2017,_L_GH_140501_16,35.25
2018,_L_GH_140501_16,35.25
2019,_L_GH_140501_16,33.61
2020,_L_GH_140501_16,33.49
2021,_L_GH_140501_16,33.37
2016,_L_GH_140501_17,81.3
2017,_L_GH_140501_17,81.14
2018,_L_GH_140501_17,80.5
2019,_L_GH_140501_17,80.49
2020,_L_GH_140501_17,80.46
2021,_L_GH_140501_17,80.46
2016,_L_GH_140501_18,87.85
2017,_L_GH_140501_18,87.94
2018,_L_GH_140501_18,87.08
2019,_L_GH_140501_18,87.47
2020,_L_GH_140501_18,87.85
2021,_L_GH_140501_18,87.85
2016,_L_GH_140501_19,74.76
2017,_L_GH_140501_19,74.34
2018,_L_GH_140501_19,73.92
2019,_L_GH_140501_19,73.5
2020,_L_GH_140501_19,73.08
2021,_L_GH_140501_19,73.08
