Year,SERIES,REF_AREA,GeoCode,Value
1990,_L_GH_030101_01,,,760.0
2007,_L_GH_030101_01,,,580.0
2017,_L_GH_030101_01,,,310.0
2010,_L_GH_030101_02,,,485.0
2021,_L_GH_030101_02,,,301.0
2007,_L_GH_030101_03,,,224.0
2008,_L_GH_030101_03,,,200.0
2009,_L_GH_030101_03,,,170.0
2010,_L_GH_030101_03,,,163.0
2011,_L_GH_030101_03,,,195.0
2012,_L_GH_030101_03,,,152.0
2013,_L_GH_030101_03,,,155.0
2014,_L_GH_030101_03,,,144.0
2015,_L_GH_030101_03,,,142.0
2016,_L_GH_030101_03,,,152.0
2017,_L_GH_030101_03,,,147.0
2008,_L_GH_030101_03,06_o,06_o,253.0
2009,_L_GH_030101_03,06_o,06_o,215.0
2010,_L_GH_030101_03,06_o,06_o,150.0
2011,_L_GH_030101_03,06_o,06_o,232.0
2012,_L_GH_030101_03,06_o,06_o,77.0
2013,_L_GH_030101_03,06_o,06_o,125.0
2014,_L_GH_030101_03,06_o,06_o,115.0
2015,_L_GH_030101_03,06_o,06_o,136.0
2008,_L_GH_030101_03,07_o,07_o,185.0
2009,_L_GH_030101_03,07_o,07_o,194.0
2010,_L_GH_030101_03,07_o,07_o,139.0
2011,_L_GH_030101_03,07_o,07_o,208.0
2012,_L_GH_030101_03,07_o,07_o,167.0
2013,_L_GH_030101_03,07_o,07_o,139.0
2014,_L_GH_030101_03,07_o,07_o,135.0
2015,_L_GH_030101_03,07_o,07_o,131.0
2008,_L_GH_030101_03,02_o,02_o,223.0
2009,_L_GH_030101_03,02_o,02_o,129.0
2010,_L_GH_030101_03,02_o,02_o,149.0
2011,_L_GH_030101_03,02_o,02_o,141.0
2012,_L_GH_030101_03,02_o,02_o,113.0
2013,_L_GH_030101_03,02_o,02_o,122.0
2014,_L_GH_030101_03,02_o,02_o,105.0
2015,_L_GH_030101_03,02_o,02_o,108.0
2008,_L_GH_030101_03,05_o,05_o,171.0
2009,_L_GH_030101_03,05_o,05_o,136.0
2010,_L_GH_030101_03,05_o,05_o,192.0
2011,_L_GH_030101_03,05_o,05_o,207.0
2012,_L_GH_030101_03,05_o,05_o,179.0
2013,_L_GH_030101_03,05_o,05_o,200.0
2014,_L_GH_030101_03,05_o,05_o,176.0
2015,_L_GH_030101_03,05_o,05_o,176.0
2008,_L_GH_030101_03,03_o,03_o,194.0
2009,_L_GH_030101_03,03_o,03_o,197.0
2010,_L_GH_030101_03,03_o,03_o,182.0
2011,_L_GH_030101_03,03_o,03_o,256.0
2012,_L_GH_030101_03,03_o,03_o,201.0
2013,_L_GH_030101_03,03_o,03_o,197.0
2014,_L_GH_030101_03,03_o,03_o,185.0
2015,_L_GH_030101_03,03_o,03_o,177.0
2008,_L_GH_030101_03,08_o,08_o,176.0
2009,_L_GH_030101_03,08_o,08_o,147.0
2010,_L_GH_030101_03,08_o,08_o,137.0
2011,_L_GH_030101_03,08_o,08_o,165.0
2012,_L_GH_030101_03,08_o,08_o,212.0
2013,_L_GH_030101_03,08_o,08_o,174.0
2014,_L_GH_030101_03,08_o,08_o,108.0
2015,_L_GH_030101_03,08_o,08_o,144.0
2008,_L_GH_030101_03,09_o,09_o,152.0
2009,_L_GH_030101_03,09_o,09_o,131.0
2010,_L_GH_030101_03,09_o,09_o,138.0
2011,_L_GH_030101_03,09_o,09_o,120.0
2012,_L_GH_030101_03,09_o,09_o,136.0
2013,_L_GH_030101_03,09_o,09_o,108.0
2014,_L_GH_030101_03,09_o,09_o,139.0
2015,_L_GH_030101_03,09_o,09_o,89.7
2008,_L_GH_030101_03,10_o,10_o,121.0
2009,_L_GH_030101_03,10_o,10_o,267.0
2010,_L_GH_030101_03,10_o,10_o,158.0
2011,_L_GH_030101_03,10_o,10_o,202.0
2012,_L_GH_030101_03,10_o,10_o,146.0
2013,_L_GH_030101_03,10_o,10_o,193.0
2014,_L_GH_030101_03,10_o,10_o,161.0
2015,_L_GH_030101_03,10_o,10_o,156.0
2008,_L_GH_030101_03,04_o,04_o,145.0
2009,_L_GH_030101_03,04_o,04_o,146.0
2010,_L_GH_030101_03,04_o,04_o,210.0
2011,_L_GH_030101_03,04_o,04_o,201.0
2012,_L_GH_030101_03,04_o,04_o,175.0
2013,_L_GH_030101_03,04_o,04_o,161.0
2014,_L_GH_030101_03,04_o,04_o,179.0
2015,_L_GH_030101_03,04_o,04_o,134.0
2008,_L_GH_030101_03,01_o,01_o,270.0
2009,_L_GH_030101_03,01_o,01_o,148.0
2010,_L_GH_030101_03,01_o,01_o,176.0
2011,_L_GH_030101_03,01_o,01_o,114.0
2012,_L_GH_030101_03,01_o,01_o,132.0
2013,_L_GH_030101_03,01_o,01_o,153.0
2014,_L_GH_030101_03,01_o,01_o,150.0
2015,_L_GH_030101_03,01_o,01_o,125.0
