Year,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,GeoCode,Value
2003,SH_STA_BRTC,,,,,47.1
2008,SH_STA_BRTC,,,,,58.7
2014,SH_STA_BRTC,,,,,73.7
2017,SH_STA_BRTC,,,,,79.0
2014,SH_STA_BRTC,10_o,,,10_o,63.7
2017,SH_STA_BRTC,10_o,,,10_o,83.0
2014,SH_STA_BRTC,09_o,,,09_o,84.6
2017,SH_STA_BRTC,09_o,,,09_o,94.0
2014,SH_STA_BRTC,08_o,,,08_o,36.4
2017,SH_STA_BRTC,08_o,,,08_o,60.0
2014,SH_STA_BRTC,07_o,,,07_o,79.0
2017,SH_STA_BRTC,07_o,,,07_o,86.0
2014,SH_STA_BRTC,06_o,,,06_o,86.3
2017,SH_STA_BRTC,06_o,,,06_o,82.0
2014,SH_STA_BRTC,05_o,,,05_o,67.2
2017,SH_STA_BRTC,05_o,,,05_o,79.0
2014,SH_STA_BRTC,04_o,,,04_o,66.3
2017,SH_STA_BRTC,04_o,,,04_o,69.0
2014,SH_STA_BRTC,03_o,,,03_o,92.1
2017,SH_STA_BRTC,03_o,,,03_o,93.0
2014,SH_STA_BRTC,02_o,,,02_o,72.0
2017,SH_STA_BRTC,02_o,,,02_o,73.0
2014,SH_STA_BRTC,01_o,,,01_o,75.3
2017,SH_STA_BRTC,01_o,,,01_o,80.0
2017,_L_GH_030102_01,,U,,,11.0
2017,_L_GH_030102_01,08_o,U,,08_o,18.0
2017,_L_GH_030102_01,04_o,U,,04_o,22.0
2017,_L_GH_030102_01,05_o,U,,05_o,9.0
2017,_L_GH_030102_01,02_o,U,,02_o,16.0
2017,_L_GH_030102_01,01_o,U,,01_o,11.0
2017,_L_GH_030102_01,07_o,U,,07_o,9.0
2017,_L_GH_030102_01,06_o,U,,06_o,6.0
2017,_L_GH_030102_01,10_o,U,,10_o,6.0
2017,_L_GH_030102_01,03_o,U,,03_o,8.0
2017,_L_GH_030102_01,09_o,U,,09_o,4.0
2017,_L_GH_030102_01,,R,,,29.0
2017,_L_GH_030102_01,08_o,R,,08_o,49.0
2017,_L_GH_030102_01,04_o,R,,04_o,45.0
2017,_L_GH_030102_01,05_o,R,,05_o,32.0
2017,_L_GH_030102_01,02_o,R,,02_o,31.0
2017,_L_GH_030102_01,01_o,R,,01_o,30.0
2017,_L_GH_030102_01,07_o,R,,07_o,28.0
2017,_L_GH_030102_01,06_o,R,,06_o,27.0
2017,_L_GH_030102_01,10_o,R,,10_o,22.0
2017,_L_GH_030102_01,03_o,R,,03_o,14.0
2017,_L_GH_030102_01,09_o,R,,09_o,10.0
2017,_L_GH_030102_02,,,_L_GH_SKILLED_CARE,,91.0
2017,_L_GH_030102_02,,,_L_GH_UNSKILLED_CARE,,2.0
2017,_L_GH_030102_02,,,_L_GH_NO_CARE,,7.0
2017,_L_GH_030102_03,,,_L_GH_SKILLED_CARE,,54.0
2017,_L_GH_030102_03,,,_L_GH_UNSKILLED_CARE,,21.0
2017,_L_GH_030102_03,,,_L_GH_NO_CARE,,25.0
