Year,SERIES,COMPOSITE_BREAKDOWN,Value
2018,SH_IHR_CAPPRD,,47
2018,SH_IHR_CAPS,IHR_01_N,27
2018,SH_IHR_CAPS,IHR_02_N,50
2018,SH_IHR_CAPS,IHR_03_N,60
2018,SH_IHR_CAPS,IHR_04_N,40
2018,SH_IHR_CAPS,IHR_05_N,47
2018,SH_IHR_CAPS,IHR_06_N,80
2018,SH_IHR_CAPS,IHR_07_N,20
2018,SH_IHR_CAPS,IHR_08_N,27
2018,SH_IHR_CAPS,IHR_09_N,40
2018,SH_IHR_CAPS,IHR_10_N,80
2018,SH_IHR_CAPS,IHR_11_N,40
2018,SH_IHR_CAPS,IHR_12_N,40
2018,SH_IHR_CAPS,IHR_13_N,60
2019,SH_IHR_CAPPRD,,49
2019,SH_IHR_CAPS,IHR_01_N,33
2019,SH_IHR_CAPS,IHR_02_N,60
2019,SH_IHR_CAPS,IHR_03_N,60
2019,SH_IHR_CAPS,IHR_04_N,40
2019,SH_IHR_CAPS,IHR_05_N,53
2019,SH_IHR_CAPS,IHR_06_N,80
2019,SH_IHR_CAPS,IHR_07_N,20
2019,SH_IHR_CAPS,IHR_08_N,33
2019,SH_IHR_CAPS,IHR_09_N,40
2019,SH_IHR_CAPS,IHR_10_N,80
2019,SH_IHR_CAPS,IHR_11_N,40
2019,SH_IHR_CAPS,IHR_12_N,40
2019,SH_IHR_CAPS,IHR_13_N,60
2020,SH_IHR_CAPPRD,,49
2020,SH_IHR_CAPS,IHR_01_N,33
2020,SH_IHR_CAPS,IHR_02_N,60
2020,SH_IHR_CAPS,IHR_03_N,60
2020,SH_IHR_CAPS,IHR_04_N,40
2020,SH_IHR_CAPS,IHR_05_N,53
2020,SH_IHR_CAPS,IHR_06_N,80
2020,SH_IHR_CAPS,IHR_07_N,20
2020,SH_IHR_CAPS,IHR_08_N,33
2020,SH_IHR_CAPS,IHR_09_N,40
2020,SH_IHR_CAPS,IHR_10_N,80
2020,SH_IHR_CAPS,IHR_11_N,40
2020,SH_IHR_CAPS,IHR_12_N,40
2020,SH_IHR_CAPS,IHR_13_N,60
