Year,SERIES,SEX,URBANISATION,EDUCATION_LEV,COMPOSITE_BREAKDOWN,Value
2016,_L_GH_040101_01,,,_L_GH_Primary_4,SKILL_MATH,22.0
2018,_L_GH_040101_01,,,_L_GH_Primary_4,SKILL_MATH,19.0
2016,_L_GH_040101_01,M,,_L_GH_Primary_4,SKILL_MATH,22.0
2016,_L_GH_040101_01,F,,_L_GH_Primary_4,SKILL_MATH,22.0
2016,_L_GH_040101_01,,,_L_GH_Primary_4,_L_GH_ENGLISH,37.2
2018,_L_GH_040101_01,,,_L_GH_Primary_4,_L_GH_ENGLISH,25.0
2016,_L_GH_040101_01,M,,_L_GH_Primary_4,_L_GH_ENGLISH,35.0
2016,_L_GH_040101_01,F,,_L_GH_Primary_4,_L_GH_ENGLISH,40.0
2016,_L_GH_040101_01,,,_L_GH_Primary_6,SKILL_MATH,24.9
2018,_L_GH_040101_01,,,_L_GH_Primary_6,SKILL_MATH,22.0
2016,_L_GH_040101_01,M,,_L_GH_Primary_6,SKILL_MATH,27.0
2016,_L_GH_040101_01,F,,_L_GH_Primary_6,SKILL_MATH,23.0
2016,_L_GH_040101_01,,,_L_GH_Primary_6,_L_GH_ENGLISH,38.0
2018,_L_GH_040101_01,,,_L_GH_Primary_6,_L_GH_ENGLISH,25.0
2016,_L_GH_040101_01,M,,_L_GH_Primary_6,_L_GH_ENGLISH,37.0
2016,_L_GH_040101_01,F,,_L_GH_Primary_6,_L_GH_ENGLISH,39.0
2018,_L_GH_040101_02,,,,SKILL_READ,21.4
2018,_L_GH_040101_02,,U,,SKILL_READ,33.6
2018,_L_GH_040101_02,,R,,SKILL_READ,12.4
2018,_L_GH_040101_02,F,,,SKILL_READ,22.4
2018,_L_GH_040101_02,F,U,,SKILL_READ,35.6
2018,_L_GH_040101_02,F,R,,SKILL_READ,12.4
2018,_L_GH_040101_02,M,,,SKILL_READ,20.4
2018,_L_GH_040101_02,M,U,,SKILL_READ,31.6
2018,_L_GH_040101_02,M,R,,SKILL_READ,12.5
2018,_L_GH_040101_02,,,,SKILL_NMRCY,15.7
2018,_L_GH_040101_02,,U,,SKILL_NMRCY,22.0
2018,_L_GH_040101_02,,R,,SKILL_NMRCY,11.2
2018,_L_GH_040101_02,F,,,SKILL_NMRCY,14.0
2018,_L_GH_040101_02,F,U,,SKILL_NMRCY,20.6
2018,_L_GH_040101_02,F,R,,SKILL_NMRCY,9.1
2018,_L_GH_040101_02,M,,,SKILL_NMRCY,17.3
2018,_L_GH_040101_02,M,U,,SKILL_NMRCY,23.3
2018,_L_GH_040101_02,M,R,,SKILL_NMRCY,13.1
2018,_L_GH_040101_03,,,_L_GH_Primary_4,SKILL_LTRCY,19.5
2018,_L_GH_040101_03,M,,_L_GH_Primary_4,SKILL_LTRCY,22.8
2018,_L_GH_040101_03,F,,_L_GH_Primary_4,SKILL_LTRCY,16.0
2018,_L_GH_040101_03,,,_L_GH_Primary_6,SKILL_LTRCY,45.8
2018,_L_GH_040101_03,M,,_L_GH_Primary_6,SKILL_LTRCY,47.8
2018,_L_GH_040101_03,F,,_L_GH_Primary_6,SKILL_LTRCY,43.8
2018,_L_GH_040101_03,,,_L_GH_JHS,SKILL_LTRCY,57.8
2018,_L_GH_040101_03,M,,_L_GH_JHS,SKILL_LTRCY,54.8
2018,_L_GH_040101_03,F,,_L_GH_JHS,SKILL_LTRCY,60.0
2018,_L_GH_040101_03,,,_L_GH_Primary_4,SKILL_NMRCY,15.6
2018,_L_GH_040101_03,M,,_L_GH_Primary_4,SKILL_NMRCY,16.4
2018,_L_GH_040101_03,F,,_L_GH_Primary_4,SKILL_NMRCY,14.8
2018,_L_GH_040101_03,,,_L_GH_Primary_6,SKILL_NMRCY,31.1
2018,_L_GH_040101_03,M,,_L_GH_Primary_6,SKILL_NMRCY,36.6
2018,_L_GH_040101_03,F,,_L_GH_Primary_6,SKILL_NMRCY,25.5
2018,_L_GH_040101_03,,,_L_GH_JHS,SKILL_NMRCY,38.0
2018,_L_GH_040101_03,M,,_L_GH_JHS,SKILL_NMRCY,38.1
2018,_L_GH_040101_03,F,,_L_GH_JHS,SKILL_NMRCY,37.9
2016,_L_GH_040101_04,,,_L_GH_JHS,SKILL_MATH,76.3
