Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2017,A,0,SE_TOT_CPLR,,ISCED11_10,PT,,100.8
2017,A,0,SE_TOT_CPLR,,ISCED11_2,PT,,75.2
2018,A,0,SE_TOT_CPLR,,ISCED11_10,PT,,99.6
2018,A,0,SE_TOT_CPLR,,ISCED11_2,PT,,78.8
2019,A,0,SE_TOT_CPLR,,ISCED11_10,PT,,102.4
2019,A,0,SE_TOT_CPLR,,ISCED11_2,PT,,79.1
2020,A,0,SE_TOT_CPLR,,ISCED11_10,PT,,107.5
2020,A,0,SE_TOT_CPLR,,ISCED11_2,PT,,77.5
2021,A,0,SE_TOT_CPLR,,ISCED11_10,PT,,108.6
2021,A,0,SE_TOT_CPLR,,ISCED11_2,PT,,83.1
