Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,GeoCode,Value
2017,A,0,_L_GH_040201_01,,U,PT,,61.0
2017,A,0,_L_GH_040201_02,,U,PT,,95.5
2017,A,0,_L_GH_040201_03,,U,PT,,69.1
2017,A,0,_L_GH_040201_04,,U,PT,,88.5
2017,A,0,_L_GH_040201_01,,R,PT,,31.2
2017,A,0,_L_GH_040201_02,,R,PT,,91.7
2017,A,0,_L_GH_040201_03,,R,PT,,64.7
2017,A,0,_L_GH_040201_04,,R,PT,,81.9
2017,A,0,_L_GH_040201_01,,,PT,,43.9
2017,A,0,_L_GH_040201_02,,,PT,,93.3
2017,A,0,_L_GH_040201_03,,,PT,,66.6
2017,A,0,_L_GH_040201_04,,,PT,,84.7
2011,A,0,_L_GH_040201_01,,U,PT,,40.6
2011,A,0,_L_GH_040201_02,,U,PT,,98.0
2011,A,0,_L_GH_040201_03,,U,PT,,71.3
2011,A,0,_L_GH_040201_04,,U,PT,,90.6
2011,A,0,_L_GH_040201_01,,R,PT,,18.8
2011,A,0,_L_GH_040201_02,,R,PT,,96.7
2011,A,0,_L_GH_040201_03,,R,PT,,74.1
2011,A,0,_L_GH_040201_04,,R,PT,,87.8
2011,A,0,_L_GH_040201_01,,,PT,,26.3
2011,A,0,_L_GH_040201_02,,,PT,,97.3
2011,A,0,_L_GH_040201_03,,,PT,,72.9
2011,A,0,_L_GH_040201_04,,,PT,,89.0
