Year,REF_AREA,EDUCATION_LEV,GeoCode,Value
2019,10_o,ISCED11_02,10_o,1.0
2019,09_o,ISCED11_02,09_o,0.98
2019,02_o,ISCED11_02,02_o,1.04
2019,04_o,ISCED11_02,04_o,0.99
2019,06_o,ISCED11_02,06_o,0.98
2019,05_o,ISCED11_02,05_o,0.96
2019,03_o,ISCED11_02,03_o,1.04
2019,07_o,ISCED11_02,07_o,1.07
2019,08_o,ISCED11_02,08_o,1.02
2019,01_o,ISCED11_02,01_o,0.96
2019,,ISCED11_02,,0.99
2019,10_o,ISCED11_1,10_o,1.01
2019,09_o,ISCED11_1,09_o,0.99
2019,02_o,ISCED11_1,02_o,1.03
2019,04_o,ISCED11_1,04_o,1.0
2019,06_o,ISCED11_1,06_o,1.0
2019,05_o,ISCED11_1,05_o,0.95
2019,03_o,ISCED11_1,03_o,1.05
2019,07_o,ISCED11_1,07_o,1.1
2019,08_o,ISCED11_1,08_o,1.02
2019,01_o,ISCED11_1,01_o,0.95
2019,,ISCED11_1,,1.0
2019,10_o,ISCED11_2,10_o,1.01
2019,09_o,ISCED11_2,09_o,0.97
2019,02_o,ISCED11_2,02_o,1.06
2019,04_o,ISCED11_2,04_o,1.03
2019,06_o,ISCED11_2,06_o,1.0
2019,05_o,ISCED11_2,05_o,0.95
2019,03_o,ISCED11_2,03_o,1.19
2019,07_o,ISCED11_2,07_o,1.14
2019,08_o,ISCED11_2,08_o,1.03
2019,01_o,ISCED11_2,01_o,0.95
2019,,ISCED11_2,,1.02
2019,10_o,ISCED11_3,10_o,0.94
2019,09_o,ISCED11_3,09_o,0.98
2019,02_o,ISCED11_3,02_o,0.97
2019,04_o,ISCED11_3,04_o,1.09
2019,06_o,ISCED11_3,06_o,0.74
2019,05_o,ISCED11_3,05_o,0.89
2019,03_o,ISCED11_3,03_o,1.04
2019,07_o,ISCED11_3,07_o,0.93
2019,08_o,ISCED11_3,08_o,1.0
2019,01_o,ISCED11_3,01_o,0.94
2019,,ISCED11_3,,0.95
2017,,ISCED11_02,,1.0
2018,,ISCED11_02,,1.0
2020,,ISCED11_02,,1.03
2021,,ISCED11_02,,0.99
2017,,ISCED11_1,,1.03
2018,,ISCED11_1,,1.0
2020,,ISCED11_1,,1.02
2021,,ISCED11_1,,1.0
2017,,ISCED11_2,,0.97
2018,,ISCED11_2,,1.0
2020,,ISCED11_2,,1.02
2021,,ISCED11_2,,1.0
2017,,ISCED11_3,,0.96
2018,,ISCED11_3,,0.92
2020,,ISCED11_3,,0.96
