Year,Sex,Age,Degree of urbanisation,Value
2021,Female,6 years old and over,Rural,50.2
2021,Female,11 years old and over,Rural,53.0
2021,Female,15 years old and over,Rural,51.0
2021,Male,6 years old and over,Rural,60.2
2021,Male,11 years old and over,Rural,65.5
2021,Male,15 years old and over,Rural,65.8
2021,Female,6 years old and over,Urban,76.7
2021,Female,11 years old and over,Urban,78.0
2021,Female,15 years old and over,Urban,76.7
2021,Male,6 years old and over,Urban,84.7
2021,Male,11 years old and over,Urban,87.5
2021,Male,15 years old and over,Urban,87.4
