Year,OBS_STATUS,UNIT_MULT,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
2016,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,46
2016,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,70
2017,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,51
2017,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,72
2018,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,55
2018,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,75
2019,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,29
2019,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,22
2020,A,0,SE_ACS_ELECT,,_L_GH_PUBLIC,PT,,60
2020,A,0,SE_ACS_ELECT,,_L_GH_PRIVATE,PT,,77
2016,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,39
2016,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,73
2017,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,42
2017,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,74
2018,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,71
2018,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,89
2019,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,39
2019,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,25
2020,A,0,SE_ACS_H2O,,_L_GH_PUBLIC,PT,,75
2020,A,0,SE_ACS_H2O,,_L_GH_PRIVATE,PT,,83
2016,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,62
2016,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,82
2017,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,65
2017,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,82
2018,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,65
2018,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,84
2019,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,33
2019,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,22
2020,A,0,_L_GH_040a01_01,,_L_GH_PUBLIC,PT,,74
2020,A,0,_L_GH_040a01_01,,_L_GH_PRIVATE,PT,,89
2016,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,65
2016,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,80
2017,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,67
2017,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,81
2018,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,66
2018,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,82
2019,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,32
2019,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,20
2020,A,0,_L_GH_040a01_02,,_L_GH_PUBLIC,PT,,69
2020,A,0,_L_GH_040a01_02,,_L_GH_PRIVATE,PT,,84
